k,models,ids,proxy_route_pass,proxy_route_rate,oracle_pass,oracle_rate,best_single_rate,proxy_vs_best,oracle_headroom,oracle_recovered_frac,proxy_choose_Qwen3-Coder-30B,proxy_choose_Qwen3-32B,proxy_choose_OSS-20B,proxy_choose_OSS-120B,proxy_choose_Qwen3-Coder-Next,proxy_choose_Qwen3-4B,proxy_choose_Qwen3-8B,proxy_choose_Qwen3-14B
8,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-4B + Qwen3-8B + Qwen3-14B + Qwen3-32B + OSS-20B + OSS-120B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_8b,qwen3_14b,qwen3_32b,gpt_oss_20b,gpt_oss_120b",220,0.44,293,0.586,0.422,0.018000000000000016,0.16399999999999998,0.10975609756097572,87,78,37,53,100,38,49,58
2,Qwen3-32B + OSS-120B,"qwen3_32b,gpt_oss_120b",219,0.438,243,0.486,0.422,0.016000000000000014,0.064,0.2500000000000002,,298,,202,,,,
4,Qwen3-Coder-30B + Qwen3-8B + OSS-20B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_8b,gpt_oss_20b,gpt_oss_120b",219,0.438,270,0.54,0.422,0.016000000000000014,0.11800000000000005,0.1355932203389831,192,,91,113,,,104,
4,Qwen3-Coder-30B + Qwen3-14B + Qwen3-32B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_14b,qwen3_32b,gpt_oss_120b",219,0.438,265,0.53,0.422,0.016000000000000014,0.10800000000000004,0.14814814814814822,172,114,,100,,,,114
4,Qwen3-Coder-30B + Qwen3-14B + Qwen3-32B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_14b,qwen3_32b,gpt_oss_20b",218,0.436,254,0.508,0.358,0.07800000000000001,0.15000000000000002,0.52,189,113,78,,,,,120
2,Qwen3-Coder-Next + OSS-120B,"qwen3_coder_next,gpt_oss_120b",218,0.436,234,0.468,0.422,0.014000000000000012,0.04600000000000004,0.30434782608695654,,,,292,208,,,
4,Qwen3-Coder-30B + Qwen3-4B + Qwen3-32B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_32b,gpt_oss_120b",218,0.436,267,0.534,0.422,0.014000000000000012,0.11200000000000004,0.12500000000000006,176,145,,106,,73,,
4,Qwen3-14B + Qwen3-32B + OSS-20B + OSS-120B,"qwen3_14b,qwen3_32b,gpt_oss_20b,gpt_oss_120b",218,0.436,264,0.528,0.422,0.014000000000000012,0.10600000000000004,0.1320754716981133,,138,89,101,,,,172
4,Qwen3-Coder-Next + Qwen3-14B + Qwen3-32B + OSS-20B,"qwen3_coder_next,qwen3_14b,qwen3_32b,gpt_oss_20b",217,0.434,252,0.504,0.344,0.09000000000000002,0.16000000000000003,0.5625,,134,81,,143,,,142
3,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-32B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_32b",217,0.434,239,0.478,0.358,0.07600000000000001,0.12,0.6333333333333334,169,177,,,154,,,
4,Qwen3-Coder-Next + Qwen3-8B + OSS-20B + OSS-120B,"qwen3_coder_next,qwen3_8b,gpt_oss_20b,gpt_oss_120b",217,0.434,266,0.532,0.422,0.01200000000000001,0.11000000000000004,0.10909090909090914,,,100,137,139,,124,
4,Qwen3-Coder-Next + Qwen3-14B + OSS-20B + OSS-120B,"qwen3_coder_next,qwen3_14b,gpt_oss_20b,gpt_oss_120b",217,0.434,269,0.538,0.422,0.01200000000000001,0.11600000000000005,0.10344827586206902,,,105,116,137,,,142
4,Qwen3-Coder-30B + Qwen3-4B + OSS-20B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,gpt_oss_20b,gpt_oss_120b",217,0.434,269,0.538,0.422,0.01200000000000001,0.11600000000000005,0.10344827586206902,187,,107,115,,91,,
4,Qwen3-Coder-30B + Qwen3-14B + OSS-20B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_14b,gpt_oss_20b,gpt_oss_120b",217,0.434,269,0.538,0.422,0.01200000000000001,0.11600000000000005,0.10344827586206902,180,,86,105,,,,129
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-4B + Qwen3-32B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_32b",216,0.432,246,0.492,0.358,0.07400000000000001,0.134,0.5522388059701493,147,151,,,133,69,,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-8B + OSS-120B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_8b,gpt_oss_120b",216,0.432,265,0.53,0.422,0.010000000000000009,0.10800000000000004,0.09259259259259264,142,,,129,136,,93,
4,Qwen3-Coder-Next + Qwen3-4B + Qwen3-32B + OSS-120B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_32b,gpt_oss_120b",216,0.432,262,0.524,0.422,0.010000000000000009,0.10200000000000004,0.09803921568627456,,165,,121,130,84,,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-4B + OSS-20B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,gpt_oss_20b",215,0.43,254,0.508,0.358,0.07200000000000001,0.15000000000000002,0.48,163,,102,,144,91,,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-14B + OSS-20B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_14b,gpt_oss_20b",215,0.43,254,0.508,0.358,0.07200000000000001,0.15000000000000002,0.48,143,,86,,141,,,130
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-4B + OSS-120B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,gpt_oss_120b",215,0.43,265,0.53,0.422,0.008000000000000007,0.10800000000000004,0.07407407407407411,146,,,132,138,84,,
4,Qwen3-Coder-30B + Qwen3-8B + Qwen3-32B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_8b,qwen3_32b,gpt_oss_120b",215,0.43,267,0.534,0.422,0.008000000000000007,0.11200000000000004,0.07142857142857147,176,136,,102,,,86,
3,Qwen3-Coder-Next + Qwen3-32B + OSS-20B,"qwen3_coder_next,qwen3_32b,gpt_oss_20b",214,0.428,239,0.478,0.344,0.08400000000000002,0.134,0.6268656716417912,,223,112,,165,,,
4,Qwen3-Coder-Next + Qwen3-14B + Qwen3-32B + OSS-120B,"qwen3_coder_next,qwen3_14b,qwen3_32b,gpt_oss_120b",214,0.428,262,0.524,0.422,0.006000000000000005,0.10200000000000004,0.05882352941176474,,130,,110,132,,,128
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-14B + Qwen3-32B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_14b,qwen3_32b",213,0.426,247,0.494,0.358,0.068,0.136,0.5,136,112,,,139,,,113
2,Qwen3-Coder-30B + OSS-20B,"qwen3_coder_30b_a3b,gpt_oss_20b",212,0.424,228,0.456,0.358,0.066,0.09800000000000003,0.6734693877551019,324,,176,,,,,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-8B + OSS-20B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_8b,gpt_oss_20b",212,0.424,256,0.512,0.358,0.066,0.15400000000000003,0.42857142857142855,159,,88,,148,,105,
4,Qwen3-Coder-30B + Qwen3-4B + Qwen3-32B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_32b,gpt_oss_20b",212,0.424,254,0.508,0.358,0.066,0.15000000000000002,0.43999999999999995,190,149,84,,,77,,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-14B + OSS-120B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_14b,gpt_oss_120b",212,0.424,267,0.534,0.422,0.0020000000000000018,0.11200000000000004,0.017857142857142867,128,,,116,137,,,119
4,Qwen3-Coder-Next + Qwen3-8B + Qwen3-32B + OSS-120B,"qwen3_coder_next,qwen3_8b,qwen3_32b,gpt_oss_120b",212,0.424,263,0.526,0.422,0.0020000000000000018,0.10400000000000004,0.019230769230769242,,146,,119,132,,103,
4,Qwen3-4B + Qwen3-32B + OSS-20B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_32b,gpt_oss_20b,gpt_oss_120b",212,0.424,266,0.532,0.422,0.0020000000000000018,0.11000000000000004,0.01818181818181819,,181,90,104,,125,,
4,Qwen3-8B + Qwen3-32B + OSS-20B + OSS-120B,"qwen3_8b,qwen3_32b,gpt_oss_20b,gpt_oss_120b",212,0.424,265,0.53,0.422,0.0020000000000000018,0.10800000000000004,0.018518518518518528,,162,85,109,,,144,
3,Qwen3-Coder-30B + Qwen3-8B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_8b,gpt_oss_120b",211,0.422,253,0.506,0.422,0.0,0.08400000000000002,0.0,223,,,162,,,115,
3,Qwen3-14B + OSS-20B + OSS-120B,"qwen3_14b,gpt_oss_20b,gpt_oss_120b",211,0.422,255,0.51,0.422,0.0,0.08800000000000002,0.0,,,136,146,,,,218
4,Qwen3-Coder-Next + Qwen3-4B + OSS-20B + OSS-120B,"qwen3_coder_next,qwen3_4b_instruct_2507,gpt_oss_20b,gpt_oss_120b",211,0.422,267,0.534,0.422,0.0,0.11200000000000004,0.0,,,121,135,137,107,,
4,Qwen3-Coder-30B + Qwen3-8B + Qwen3-32B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_8b,qwen3_32b,gpt_oss_20b",210,0.42,256,0.512,0.358,0.062,0.15400000000000003,0.4025974025974025,193,140,74,,,,93,
3,Qwen3-4B + Qwen3-32B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_32b,gpt_oss_120b",210,0.42,250,0.5,0.422,-0.0020000000000000018,0.07800000000000001,-0.02564102564102566,,204,,155,,141,,
4,Qwen3-4B + Qwen3-14B + Qwen3-32B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_14b,qwen3_32b,gpt_oss_120b",210,0.42,255,0.51,0.422,-0.0020000000000000018,0.08800000000000002,-0.022727272727272742,,132,,119,,118,,131
4,Qwen3-Coder-Next + Qwen3-4B + Qwen3-32B + OSS-20B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_32b,gpt_oss_20b",209,0.418,248,0.496,0.344,0.07400000000000001,0.15200000000000002,0.4868421052631579,,176,92,,136,96,,
3,Qwen3-Coder-30B + Qwen3-4B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,gpt_oss_120b",209,0.418,252,0.504,0.422,-0.0040000000000000036,0.08200000000000002,-0.048780487804878085,226,,,170,,104,,
3,Qwen3-14B + Qwen3-32B + OSS-120B,"qwen3_14b,qwen3_32b,gpt_oss_120b",208,0.416,249,0.498,0.422,-0.006000000000000005,0.07600000000000001,-0.07894736842105268,,156,,148,,,,196
3,Qwen3-Coder-30B + Qwen3-14B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_14b,gpt_oss_20b",207,0.414,239,0.478,0.358,0.055999999999999994,0.12,0.4666666666666666,230,,111,,,,,159
4,Qwen3-Coder-30B + Qwen3-4B + Qwen3-14B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_14b,qwen3_32b",207,0.414,239,0.478,0.358,0.055999999999999994,0.12,0.4666666666666666,193,121,,,,71,,115
3,Qwen3-Coder-30B + Qwen3-14B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_14b,gpt_oss_120b",207,0.414,254,0.508,0.422,-0.008000000000000007,0.08600000000000002,-0.09302325581395354,207,,,147,,,,146
4,Qwen3-Coder-30B + Qwen3-4B + Qwen3-14B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_14b,gpt_oss_120b",207,0.414,259,0.518,0.422,-0.008000000000000007,0.09600000000000003,-0.08333333333333338,180,,,128,,70,,122
4,Qwen3-Coder-30B + Qwen3-8B + Qwen3-14B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_8b,qwen3_14b,gpt_oss_120b",207,0.414,261,0.522,0.422,-0.008000000000000007,0.10000000000000003,-0.08000000000000004,185,,,127,,,97,91
3,Qwen3-Coder-Next + Qwen3-14B + OSS-20B,"qwen3_coder_next,qwen3_14b,gpt_oss_20b",206,0.412,236,0.472,0.344,0.068,0.128,0.53125,,,133,,177,,,190
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-8B + Qwen3-32B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_8b,qwen3_32b",206,0.412,247,0.494,0.358,0.05399999999999999,0.136,0.3970588235294117,137,135,,,140,,88,
4,Qwen3-Coder-Next + Qwen3-8B + Qwen3-32B + OSS-20B,"qwen3_coder_next,qwen3_8b,qwen3_32b,gpt_oss_20b",205,0.41,249,0.498,0.344,0.066,0.15400000000000003,0.42857142857142855,,154,79,,147,,120,
3,Qwen3-Coder-Next + Qwen3-8B + OSS-120B,"qwen3_coder_next,qwen3_8b,gpt_oss_120b",205,0.41,242,0.484,0.422,-0.01200000000000001,0.062,-0.19354838709677435,,,,201,159,,140,
3,Qwen3-8B + OSS-20B + OSS-120B,"qwen3_8b,gpt_oss_20b,gpt_oss_120b",205,0.41,252,0.504,0.422,-0.01200000000000001,0.08200000000000002,-0.14634146341463425,,,140,170,,,190,
4,Qwen3-Coder-30B + Qwen3-4B + Qwen3-8B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_8b,gpt_oss_120b",205,0.41,258,0.516,0.422,-0.01200000000000001,0.09400000000000003,-0.12765957446808518,192,,,139,,77,92,
4,Qwen3-4B + Qwen3-14B + OSS-20B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_14b,gpt_oss_20b,gpt_oss_120b",205,0.41,261,0.522,0.422,-0.01200000000000001,0.10000000000000003,-0.12000000000000006,,,111,123,,122,,144
4,Qwen3-8B + Qwen3-14B + OSS-20B + OSS-120B,"qwen3_8b,qwen3_14b,gpt_oss_20b,gpt_oss_120b",205,0.41,261,0.522,0.422,-0.01200000000000001,0.10000000000000003,-0.12000000000000006,,,105,123,,,155,117
3,Qwen3-14B + Qwen3-32B + OSS-20B,"qwen3_14b,qwen3_32b,gpt_oss_20b",204,0.408,231,0.462,0.344,0.064,0.11800000000000005,0.542372881355932,,162,112,,,,,226
4,Qwen3-4B + Qwen3-14B + Qwen3-32B + OSS-20B,"qwen3_4b_instruct_2507,qwen3_14b,qwen3_32b,gpt_oss_20b",204,0.408,239,0.478,0.344,0.064,0.134,0.47761194029850745,,137,91,,,131,,141
2,Qwen3-Coder-30B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_32b",204,0.408,222,0.444,0.358,0.04999999999999999,0.08600000000000002,0.581395348837209,281,219,,,,,,
3,Qwen3-Coder-30B + Qwen3-4B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_32b",204,0.408,229,0.458,0.358,0.04999999999999999,0.10000000000000003,0.4999999999999997,232,178,,,,90,,
3,Qwen3-Coder-30B + Qwen3-14B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_14b,qwen3_32b",204,0.408,233,0.466,0.358,0.04999999999999999,0.10800000000000004,0.4629629629629627,226,138,,,,,,136
3,Qwen3-Coder-Next + Qwen3-14B + OSS-120B,"qwen3_coder_next,qwen3_14b,gpt_oss_120b",204,0.408,250,0.5,0.422,-0.014000000000000012,0.07800000000000001,-0.17948717948717963,,,,172,157,,,171
3,Qwen3-8B + Qwen3-32B + OSS-120B,"qwen3_8b,qwen3_32b,gpt_oss_120b",204,0.408,250,0.5,0.422,-0.014000000000000012,0.07800000000000001,-0.17948717948717963,,184,,154,,,162,
3,Qwen3-Coder-30B + Qwen3-4B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,gpt_oss_20b",203,0.406,236,0.472,0.358,0.04800000000000004,0.11399999999999999,0.4210526315789478,249,,137,,,114,,
4,Qwen3-Coder-30B + Qwen3-4B + Qwen3-14B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_14b,gpt_oss_20b",203,0.406,245,0.49,0.358,0.04800000000000004,0.132,0.3636363636363639,196,,98,,,73,,133
3,Qwen3-Coder-30B + Qwen3-8B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_8b,gpt_oss_20b",202,0.404,240,0.48,0.358,0.04600000000000004,0.122,0.3770491803278692,252,,119,,,,129,
4,Qwen3-Coder-Next + Qwen3-4B + Qwen3-14B + OSS-120B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_14b,gpt_oss_120b",202,0.404,256,0.512,0.422,-0.01799999999999996,0.09000000000000002,-0.1999999999999995,,,,143,138,86,,133
4,Qwen3-Coder-Next + Qwen3-8B + Qwen3-14B + OSS-120B,"qwen3_coder_next,qwen3_8b,qwen3_14b,gpt_oss_120b",202,0.404,256,0.512,0.422,-0.01799999999999996,0.09000000000000002,-0.1999999999999995,,,,139,144,,108,109
4,Qwen3-4B + Qwen3-8B + Qwen3-32B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_8b,qwen3_32b,gpt_oss_120b",202,0.404,256,0.512,0.422,-0.01799999999999996,0.09000000000000002,-0.1999999999999995,,160,,126,,120,94,
4,Qwen3-8B + Qwen3-14B + Qwen3-32B + OSS-120B,"qwen3_8b,qwen3_14b,qwen3_32b,gpt_oss_120b",202,0.404,254,0.508,0.422,-0.01799999999999996,0.08600000000000002,-0.20930232558139483,,121,,126,,,144,109
4,Qwen3-Coder-Next + Qwen3-4B + Qwen3-14B + Qwen3-32B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_14b,qwen3_32b",201,0.402,234,0.468,0.334,0.068,0.134,0.5074626865671642,,140,,,141,83,,136
2,Qwen3-Coder-Next + OSS-20B,"qwen3_coder_next,gpt_oss_20b",201,0.402,211,0.422,0.344,0.05800000000000005,0.07800000000000001,0.7435897435897442,,,234,,266,,,
4,Qwen3-Coder-30B + Qwen3-8B + Qwen3-14B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_8b,qwen3_14b,gpt_oss_20b",201,0.402,249,0.498,0.358,0.04400000000000004,0.14,0.31428571428571456,200,,91,,,,103,106
2,Qwen3-32B + OSS-20B,"qwen3_32b,gpt_oss_20b",200,0.4,216,0.432,0.344,0.05600000000000005,0.08800000000000002,0.6363636363636368,,341,159,,,,,
4,Qwen3-Coder-Next + Qwen3-4B + Qwen3-14B + OSS-20B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_14b,gpt_oss_20b",200,0.4,243,0.486,0.344,0.05600000000000005,0.14200000000000002,0.3943661971830989,,,113,,149,91,,147
4,Qwen3-Coder-Next + Qwen3-8B + Qwen3-14B + OSS-20B,"qwen3_coder_next,qwen3_8b,qwen3_14b,gpt_oss_20b",200,0.4,243,0.486,0.344,0.05600000000000005,0.14200000000000002,0.3943661971830989,,,96,,163,,123,118
2,Qwen3-Coder-Next + Qwen3-Coder-30B,"qwen3_coder_next,qwen3_coder_30b_a3b",200,0.4,211,0.422,0.358,0.04200000000000004,0.064,0.6562500000000006,264,,,,236,,,
3,Qwen3-Coder-Next + Qwen3-4B + OSS-120B,"qwen3_coder_next,qwen3_4b_instruct_2507,gpt_oss_120b",200,0.4,243,0.486,0.422,-0.021999999999999964,0.064,-0.34374999999999944,,,,204,164,132,,
3,Qwen3-4B + OSS-20B + OSS-120B,"qwen3_4b_instruct_2507,gpt_oss_20b,gpt_oss_120b",200,0.4,253,0.506,0.422,-0.021999999999999964,0.08400000000000002,-0.2619047619047614,,,163,167,,170,,
3,Qwen3-Coder-Next + Qwen3-4B + Qwen3-32B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_32b",199,0.398,215,0.43,0.334,0.064,0.09599999999999997,0.6666666666666669,,221,,,163,116,,
3,Qwen3-Coder-Next + Qwen3-14B + Qwen3-32B,"qwen3_coder_next,qwen3_14b,qwen3_32b",199,0.398,225,0.45,0.334,0.064,0.11599999999999999,0.5517241379310346,,161,,,166,,,173
4,Qwen3-Coder-Next + Qwen3-4B + Qwen3-8B + OSS-120B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_8b,gpt_oss_120b",199,0.398,249,0.498,0.422,-0.023999999999999966,0.07600000000000001,-0.31578947368421,,,,164,139,100,97,
3,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-4B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_4b_instruct_2507",198,0.396,220,0.44,0.358,0.038000000000000034,0.08200000000000002,0.46341463414634176,209,,,,178,113,,
4,Qwen3-Coder-30B + Qwen3-4B + Qwen3-8B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_8b,gpt_oss_20b",198,0.396,246,0.492,0.358,0.038000000000000034,0.134,0.283582089552239,208,,105,,,84,103,
4,Qwen3-4B + Qwen3-8B + OSS-20B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_8b,gpt_oss_20b,gpt_oss_120b",198,0.396,260,0.52,0.422,-0.025999999999999968,0.09800000000000003,-0.26530612244897916,,,118,138,,134,110,
3,Qwen3-4B + Qwen3-32B + OSS-20B,"qwen3_4b_instruct_2507,qwen3_32b,gpt_oss_20b",197,0.394,228,0.456,0.344,0.050000000000000044,0.11200000000000004,0.4464285714285717,,214,118,,,168,,
4,Qwen3-Coder-30B + Qwen3-8B + Qwen3-14B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_8b,qwen3_14b,qwen3_32b",197,0.394,239,0.478,0.358,0.03600000000000003,0.12,0.30000000000000027,194,116,,,,,95,95
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-4B + Qwen3-14B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_14b",196,0.392,233,0.466,0.358,0.03400000000000003,0.10800000000000004,0.314814814814815,150,,,,145,72,,133
2,Qwen3-14B + OSS-120B,"qwen3_14b,gpt_oss_120b",196,0.392,234,0.468,0.422,-0.02999999999999997,0.04600000000000004,-0.652173913043477,,,,232,,,,268
3,Qwen3-Coder-Next + Qwen3-4B + OSS-20B,"qwen3_coder_next,qwen3_4b_instruct_2507,gpt_oss_20b",195,0.39,223,0.446,0.344,0.04600000000000004,0.10200000000000004,0.450980392156863,,,164,,191,145,,
4,Qwen3-8B + Qwen3-14B + Qwen3-32B + OSS-20B,"qwen3_8b,qwen3_14b,qwen3_32b,gpt_oss_20b",195,0.39,237,0.474,0.344,0.04600000000000004,0.13,0.35384615384615414,,125,91,,,,167,117
3,Qwen3-Coder-30B + Qwen3-8B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_8b,qwen3_32b",195,0.39,231,0.462,0.358,0.03200000000000003,0.10400000000000004,0.3076923076923079,226,166,,,,,108,
4,Qwen3-Coder-30B + Qwen3-4B + Qwen3-8B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_8b,qwen3_32b",195,0.39,237,0.474,0.358,0.03200000000000003,0.11599999999999999,0.2758620689655175,191,147,,,,75,87,
3,Qwen3-4B + Qwen3-14B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_14b,gpt_oss_120b",195,0.39,242,0.484,0.422,-0.03199999999999997,0.062,-0.5161290322580641,,,,181,,146,,173
2,Qwen3-Coder-Next + Qwen3-32B,"qwen3_coder_next,qwen3_32b",194,0.388,201,0.402,0.334,0.05399999999999999,0.068,0.7941176470588234,,289,,,211,,,
3,Qwen3-Coder-Next + Qwen3-8B + OSS-20B,"qwen3_coder_next,qwen3_8b,gpt_oss_20b",194,0.388,225,0.45,0.344,0.04400000000000004,0.10600000000000004,0.41509433962264175,,,137,,195,,168,
