family,lambda,proxy_bin,n,pass_rate,proxy_mean
7B,0.0001,"[0.7,1.0)",48,0.2916666666666667,0.831075843423605
4B,1e-05,"[0.0,0.1)",15,0.13333333333333333,0.025954141716162362
4B,1e-05,"[0.1,0.2)",10,0.0,0.15491285398602486
4B,1e-05,"[0.2,0.3)",11,0.18181818181818182,0.23910658332434567
4B,1e-05,"[0.3,0.4)",13,0.15384615384615385,0.35020436690403867
4B,1e-05,"[0.4,0.5)",18,0.3333333333333333,0.44116248852676815
4B,1e-05,"[0.5,0.7)",19,0.42105263157894735,0.5937260326586271
4B,1e-05,"[0.7,1.0)",14,0.5714285714285714,0.8597739849771772
4B,1.5e-05,"[0.0,0.1)",28,0.14285714285714285,0.023406065734369413
4B,1.5e-05,"[0.1,0.2)",24,0.08333333333333333,0.15562982019037008
4B,1.5e-05,"[0.2,0.3)",29,0.10344827586206896,0.24871811784546952
4B,1.5e-05,"[0.3,0.4)",26,0.2692307692307692,0.3455028430773662
4B,1.5e-05,"[0.4,0.5)",33,0.21212121212121213,0.4445467103611339
4B,1.5e-05,"[0.5,0.7)",40,0.4,0.5806169301271439
4B,1.5e-05,"[0.7,1.0)",38,0.6578947368421053,0.8631556269369627
4B,2e-05,"[0.0,0.1)",30,0.13333333333333333,0.02184566135207812
4B,2e-05,"[0.1,0.2)",26,0.07692307692307693,0.15539459740886322
4B,2e-05,"[0.2,0.3)",31,0.0967741935483871,0.2480989617686118
4B,2e-05,"[0.3,0.4)",30,0.3,0.349550927678744
4B,2e-05,"[0.4,0.5)",36,0.19444444444444445,0.44547835489114124
4B,2e-05,"[0.5,0.7)",44,0.36363636363636365,0.5828701609914954
4B,2e-05,"[0.7,1.0)",47,0.6595744680851063,0.8591922331363597
4B,2.25e-05,"[0.0,0.1)",32,0.125,0.02095599044696428
4B,2.25e-05,"[0.1,0.2)",26,0.07692307692307693,0.15539459740886322
4B,2.25e-05,"[0.2,0.3)",31,0.0967741935483871,0.2480989617686118
4B,2.25e-05,"[0.3,0.4)",31,0.3225806451612903,0.349129339379649
4B,2.25e-05,"[0.4,0.5)",36,0.19444444444444445,0.44547835489114124
4B,2.25e-05,"[0.5,0.7)",45,0.37777777777777777,0.5812508238686456
4B,2.25e-05,"[0.7,1.0)",49,0.673469387755102,0.8579278296353866
4B,2.5e-05,"[0.0,0.1)",34,0.11764705882352941,0.019723285126554614
4B,2.5e-05,"[0.1,0.2)",26,0.07692307692307693,0.15539459740886322
4B,2.5e-05,"[0.2,0.3)",31,0.0967741935483871,0.2480989617686118
4B,2.5e-05,"[0.3,0.4)",31,0.3225806451612903,0.349129339379649
4B,2.5e-05,"[0.4,0.5)",37,0.1891891891891892,0.4464575156972215
4B,2.5e-05,"[0.5,0.7)",46,0.391304347826087,0.582217073958853
4B,2.5e-05,"[0.7,1.0)",52,0.6730769230769231,0.8592723069282678
4B,2.75e-05,"[0.0,0.1)",38,0.10526315789473684,0.01764714985007518
4B,2.75e-05,"[0.1,0.2)",26,0.07692307692307693,0.15539459740886322
4B,2.75e-05,"[0.2,0.3)",31,0.0967741935483871,0.2480989617686118
4B,2.75e-05,"[0.3,0.4)",31,0.3225806451612903,0.349129339379649
4B,2.75e-05,"[0.4,0.5)",37,0.1891891891891892,0.4464575156972215
4B,2.75e-05,"[0.5,0.7)",46,0.391304347826087,0.582217073958853
4B,2.75e-05,"[0.7,1.0)",54,0.6851851851851852,0.858264011365396
4B,3e-05,"[0.0,0.1)",40,0.1,0.016764792357571424
4B,3e-05,"[0.1,0.2)",26,0.07692307692307693,0.15539459740886322
4B,3e-05,"[0.2,0.3)",31,0.0967741935483871,0.2480989617686118
4B,3e-05,"[0.3,0.4)",31,0.3225806451612903,0.349129339379649
4B,3e-05,"[0.4,0.5)",37,0.1891891891891892,0.4464575156972215
4B,3e-05,"[0.5,0.7)",46,0.391304347826087,0.582217073958853
4B,3e-05,"[0.7,1.0)",54,0.6851851851851852,0.858264011365396
4B,3.5e-05,"[0.0,0.1)",45,0.08888888888888889,0.014902037651174599
4B,3.5e-05,"[0.1,0.2)",26,0.07692307692307693,0.15539459740886322
4B,3.5e-05,"[0.2,0.3)",32,0.125,0.24819638580083847
4B,3.5e-05,"[0.3,0.4)",31,0.3225806451612903,0.349129339379649
4B,3.5e-05,"[0.4,0.5)",37,0.1891891891891892,0.4464575156972215
4B,3.5e-05,"[0.5,0.7)",46,0.391304347826087,0.582217073958853
4B,3.5e-05,"[0.7,1.0)",54,0.6851851851851852,0.858264011365396
4B,4e-05,"[0.0,0.1)",51,0.0784313725490196,0.01314885675103641
4B,4e-05,"[0.1,0.2)",26,0.07692307692307693,0.15539459740886322
4B,4e-05,"[0.2,0.3)",34,0.11764705882352941,0.24640500764636433
4B,4e-05,"[0.3,0.4)",32,0.3125,0.34889222774654627
4B,4e-05,"[0.4,0.5)",37,0.1891891891891892,0.4464575156972215
4B,4e-05,"[0.5,0.7)",46,0.391304347826087,0.582217073958853
4B,4e-05,"[0.7,1.0)",54,0.6851851851851852,0.858264011365396
4B,5e-05,"[0.0,0.1)",70,0.07142857142857142,0.00957988134718367
4B,5e-05,"[0.1,0.2)",26,0.07692307692307693,0.15539459740886322
4B,5e-05,"[0.2,0.3)",35,0.11428571428571428,0.24706759580544063
4B,5e-05,"[0.3,0.4)",32,0.3125,0.34889222774654627
4B,5e-05,"[0.4,0.5)",38,0.18421052631578946,0.44761932209918376
4B,5e-05,"[0.5,0.7)",46,0.391304347826087,0.582217073958853
4B,5e-05,"[0.7,1.0)",54,0.6851851851851852,0.858264011365396
4B,0.0001,"[0.0,0.1)",112,0.044642857142857144,0.005987425841989794
4B,0.0001,"[0.1,0.2)",28,0.07142857142857142,0.15574223628001554
4B,0.0001,"[0.2,0.3)",35,0.11428571428571428,0.24706759580544063
4B,0.0001,"[0.3,0.4)",32,0.3125,0.34889222774654627
4B,0.0001,"[0.4,0.5)",40,0.175,0.4479154601693153
4B,0.0001,"[0.5,0.7)",46,0.391304347826087,0.582217073958853
4B,0.0001,"[0.7,1.0)",54,0.6851851851851852,0.858264011365396
