split,lambda,best_always_policy,best_always_utility,fixed_q_utility,oracle_cost_q_utility,oracle_true_success_and_cost_utility,oracle_cost_minus_fixed,oracle_cost_q_minus_always,fixed_q_agree_oracle_cost,predicted_q_utility,oracle_cost_minus_predicted,predicted_q_minus_fixed,predicted_q_agree_oracle_cost
train,100.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.25763807504363,0.3440998241710297,0.36003983883071555,0.4213737085514834,0.015940014659685864,0.10240176378708554,0.9205933682373473,nan,nan,nan,nan
train,150.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2437869554973822,0.3108027641361256,0.3316634110383944,0.38584927329842933,0.020860646902268798,0.08787645554101223,0.931064572425829,nan,nan,nan,nan
train,200.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.22993583595113437,0.27883178813263526,0.3092873397905759,0.3542481661431065,0.030455551657940616,0.0793515038394415,0.9214659685863874,nan,nan,nan,nan
eval,0.0,solver:openai/gpt-oss-120b,0.47202797202797203,0.40559440559440557,0.40559440559440557,0.5594405594405595,0.0,-0.06643356643356646,1.0,0.40559440559440557,0.0,0.0,1.0
eval,5.0,solver:openai/gpt-oss-120b,0.40249621573426575,0.3562943503146853,0.3633171694755245,0.5523312229195805,0.007022819160839189,-0.039179046258741246,0.9090909090909091,0.36136540573426573,0.0019517637412587718,0.005071055419580417,0.9265734265734266
eval,10.0,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.35880946013986015,0.3283694946853147,0.32826618143356645,0.5452218863986015,-0.00010331325174822714,-0.030543278706293697,0.8566433566433567,0.3221457931818182,0.0061203882517482655,-0.006223701503496493,0.8811188811188811
eval,15.0,solver:openai/gpt-oss-20b,0.34295199414335664,0.3030347550174825,0.3156431521678322,0.5381125498776225,0.01260839715034967,-0.027308841975524467,0.8286713286713286,0.30153172716783216,0.01411142500000001,-0.0015030278496503402,0.8531468531468531
eval,20.0,solver:openai/gpt-oss-20b,0.32789869615384615,0.283868859020979,0.3182414711888112,0.5310032133566434,0.03437261216783216,-0.00965722496503496,0.8041958041958042,0.2930324721678322,0.025208999020979006,0.009163613146853156,0.8671328671328671
eval,25.0,solver:openai/gpt-oss-20b,0.31284539816433565,0.28696700026223776,0.32303348767482515,0.5238938768356644,0.03606648741258739,0.010188089510489495,0.8251748251748252,0.28999648312937065,0.033037004545454496,0.0030294828671328933,0.8671328671328671
eval,30.0,solver:openai/gpt-oss-20b,0.29779210017482516,0.28925356139860137,0.31878821055944057,0.5170566298951049,0.0295346491608392,0.020996110384615407,0.8356643356643356,0.29493345531468534,0.02385475524475522,0.005679893916083978,0.8531468531468531
eval,35.0,solver:openai/gpt-oss-20b,0.28273880218531466,0.30316662645104897,0.3233924928321678,0.5105753922202797,0.02022586638111884,0.04065369064685315,0.8391608391608392,0.2924893482867133,0.03090314454545451,-0.010677278164335668,0.8566433566433567
eval,40.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2797364998601399,0.2956026313286713,0.3144511283916084,0.5040941545454546,0.018848497062937064,0.034714628531468505,0.8321678321678322,0.2927448525874126,0.021706275804195763,-0.0028577787412586986,0.8706293706293706
eval,45.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2784273385664336,0.2937985287237762,0.3188004814160839,0.49761291687062936,0.025001952692307705,0.04037314284965032,0.8461538461538461,0.2937967419755245,0.02500373944055939,-1.7867482516864541e-06,0.8741258741258742
eval,50.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.27711817727272725,0.28836883583916084,0.3198720041958042,0.4911316791958042,0.03150316835664335,0.04275382692307694,0.8566433566433567,0.29308861206293707,0.026783392132867123,0.004719776223776229,0.8776223776223776
eval,55.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.27580901597902097,0.28740965391608386,0.31205122697552445,0.4847833164860139,0.02464157305944059,0.03624221099650349,0.8531468531468531,0.2815394436888112,0.03051178328671328,-0.0058702102272726875,0.8776223776223776
eval,60.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2744998546853147,0.2810279886013986,0.31175273237762235,0.4787268154545455,0.03072474377622375,0.03725287769230767,0.8636363636363636,0.2735839286013986,0.03816880377622378,-0.00744406000000003,0.8951048951048951
eval,75.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2705723708041958,0.25961900201048954,0.29365662202797205,0.4624269326048951,0.034037620017482506,0.02308425122377622,0.8426573426573427,0.25940014615384616,0.03425647587412589,-0.00021885585664338514,0.8846153846153846
eval,100.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.26402656433566435,0.25066579615384615,0.2758552548951049,0.43996342692307694,0.02518945874125872,0.011828690559440524,0.8531468531468531,0.23563622027972028,0.04021903461538459,-0.015029575874125872,0.8776223776223776
eval,150.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2509349513986014,0.2154705241258741,0.24750573479020982,0.40050397884615385,0.032035210664335706,-0.003429216608391572,0.8741258741258742,0.20322436538461544,0.04428136940559438,-0.012246158741258673,0.8916083916083916
eval,200.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.23784333846153846,0.19192561608391612,0.2360906146853147,0.36561293916083926,0.04416499860139858,-0.0017527237762237635,0.8426573426573427,0.164201727972028,0.07188888671328669,-0.027723888111888112,0.8776223776223776
