policy,policy_type,lambda,n,real_pass_rate,mean_proxy_reward_of_chosen,mean_true_weighted_cost,real_utility,choice_counts,called_counts,cost_accounting
oracle_after_scout_real_utility,oracle_after_scout,2e-05,369,0.6043360433604336,0.49623932078725513,4133.09485094851,0.5216741463414634,"{""gemini"": 68, ""oss"": 130, ""scout"": 171}","{""gemini"": 68, ""oss"": 130, ""scout"": 369}",after
always_scout,always_direct,5e-05,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,-0.030934552845528457,"{""scout"": 369}","{""scout"": 369}",direct
always_oss,always_direct,5e-05,369,0.4878048780487805,0.42032667132483703,4246.504065040651,0.27547967479674795,"{""oss"": 369}","{""oss"": 369}",direct
always_gemini,always_direct,5e-05,369,0.4932249322493225,0.5471075881462932,9045.09485094851,0.04097018970189703,"{""gemini"": 369}","{""gemini"": 369}",direct
post_scout_router,router_after_scout,5e-05,369,0.13008130081300814,0.4291935660898282,2470.5176151761516,0.006555420054200553,"{""oss"": 45, ""scout"": 324}","{""oss"": 45, ""scout"": 369}",after
input_only_router,router_after_scout,5e-05,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,-0.030934552845528457,"{""scout"": 369}","{""scout"": 369}",after
cascade_order_threshold_search,cascade,5e-05,369,0.10569105691056911,0.4261906954096858,2456.5582655826556,-0.01713685636856367,"{""oss"": 38, ""scout"": 331}","{""oss"": 38, ""scout"": 369}",cascade
oracle_after_scout_real_utility,oracle_after_scout,5e-05,369,0.5989159891598916,0.4961250205781749,3980.791327913279,0.3998764227642277,"{""gemini"": 66, ""oss"": 130, ""scout"": 173}","{""gemini"": 66, ""oss"": 130, ""scout"": 369}",after
always_scout,always_direct,0.0001,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,-0.12961978319783196,"{""scout"": 369}","{""scout"": 369}",direct
always_oss,always_direct,0.0001,369,0.4878048780487805,0.42032667132483703,4246.504065040651,0.06315447154471537,"{""oss"": 369}","{""oss"": 369}",direct
always_gemini,always_direct,0.0001,369,0.4932249322493225,0.5471075881462932,9045.09485094851,-0.41128455284552845,"{""gemini"": 369}","{""gemini"": 369}",direct
post_scout_router,router_after_scout,0.0001,369,0.08672086720867209,0.4097860646559172,2170.688346883469,-0.1303479674796748,"{""oss"": 20, ""scout"": 349}","{""oss"": 20, ""scout"": 369}",after
input_only_router,router_after_scout,0.0001,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,-0.12961978319783196,"{""scout"": 369}","{""scout"": 369}",after
cascade_order_threshold_search,cascade,0.0001,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,-0.12961978319783196,"{""scout"": 369}","{""scout"": 369}",cascade
oracle_after_scout_real_utility,oracle_after_scout,0.0001,369,0.5826558265582655,0.49268601532580986,3769.4688346883468,0.20570894308943083,"{""gemini"": 62, ""oss"": 128, ""scout"": 179}","{""gemini"": 62, ""oss"": 128, ""scout"": 369}",after
always_scout,always_direct,0.0002,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,-0.326990243902439,"{""scout"": 369}","{""scout"": 369}",direct
always_oss,always_direct,0.0002,369,0.4878048780487805,0.42032667132483703,4246.504065040651,-0.36149593495934973,"{""oss"": 369}","{""oss"": 369}",direct
always_gemini,always_direct,0.0002,369,0.4932249322493225,0.5471075881462932,9045.09485094851,-1.3157940379403794,"{""gemini"": 369}","{""gemini"": 369}",direct
post_scout_router,router_after_scout,0.0002,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,-0.326990243902439,"{""scout"": 369}","{""scout"": 369}",after
input_only_router,router_after_scout,0.0002,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,-0.326990243902439,"{""scout"": 369}","{""scout"": 369}",after
cascade_order_threshold_search,cascade,0.0002,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,-0.326990243902439,"{""scout"": 369}","{""scout"": 369}",cascade
oracle_after_scout_real_utility,oracle_after_scout,0.0002,369,0.4823848238482385,0.4696662262468852,3068.216802168022,-0.13125853658536585,"{""gemini"": 43, ""oss"": 110, ""scout"": 216}","{""gemini"": 43, ""oss"": 110, ""scout"": 369}",after
