lambda_dollar,state_failed_routes,action,value,conditional_p_by_available_route
3,20B 30B,4B,0.06347147091752806,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
3,4B 20B 30B,120B,0.052970561908005545,"{""120B"": 0.09515570934256055}"
3,120B,4B,0.12101024568483223,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
3,4B 120B,20B,0.0682950514464856,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
3,20B 120B,4B,0.03898640575233327,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
3,4B 20B 120B,30B,0.022101928145128576,"{""30B"": 0.03505535055350553}"
3,30B 120B,4B,0.04527526424506026,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
3,4B 30B 120B,20B,0.024947876661853656,"{""20B"": 0.033271719038817}"
3,20B 30B 120B,4B,0.006759065654549608,"{""4B"": 0.007590132827324478}"
3,4B 20B 30B 120B,STOP,0.0,{}
4,none,4B,0.4967268164965872,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
4,4B,20B,0.29733675500010864,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
4,20B,4B,0.16103457052614187,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
4,4B 20B,30B,0.10096577495354439,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
4,30B,4B,0.19719493832526364,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
4,4B 30B,20B,0.14208647191776272,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
4,20B 30B,4B,0.049300992562402064,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
4,4B 20B 30B,120B,0.03890884609648721,"{""120B"": 0.09515570934256055}"
4,120B,4B,0.11427529200232693,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
4,4B 120B,20B,0.061443343856638154,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
4,20B 120B,4B,0.03446979704175836,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
4,4B 20B 120B,30B,0.01778412067566959,"{""30B"": 0.03505535055350553}"
4,30B 120B,4B,0.042283836353269016,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
4,4B 30B 120B,20B,0.02217326253619921,"{""20B"": 0.033271719038817}"
4,20B 30B 120B,4B,0.0064820432636246515,"{""4B"": 0.007590132827324478}"
4,4B 20B 30B 120B,STOP,0.0,{}
5,none,4B,0.4850010162577323,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
5,4B,20B,0.28131685339604545,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
5,20B,4B,0.1447103729209909,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
5,4B 20B,30B,0.08374690123161302,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
5,30B,4B,0.18274723416014074,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
5,4B 30B,20B,0.12692211428744726,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
5,20B 30B,4B,0.035130514207276094,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
5,4B 20B 30B,120B,0.024847130284968877,"{""120B"": 0.09515570934256055}"
5,120B,4B,0.10754033831982165,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
5,4B 120B,20B,0.05459163626679074,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
5,20B 120B,4B,0.029953188331183454,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
5,4B 20B 120B,30B,0.013466313206210605,"{""30B"": 0.03505535055350553}"
5,30B 120B,4B,0.03929240846147778,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
5,4B 30B 120B,20B,0.019398648410544762,"{""20B"": 0.033271719038817}"
5,20B 30B 120B,4B,0.006205020872699694,"{""4B"": 0.007590132827324478}"
5,4B 20B 30B 120B,STOP,0.0,{}
7.5,none,4B,0.46088506543627733,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
7.5,4B,20B,0.2485412606104687,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
7.5,20B,4B,0.11271280500712538,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
7.5,4B 20B,30B,0.05015612651874014,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
7.5,30B,4B,0.1551144951760117,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
7.5,4B 30B,20B,0.09809283308198187,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
7.5,20B 30B,4B,0.00988814403387479,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
7.5,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
7.5,120B,4B,0.09070295411355841,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
7.5,4B 120B,20B,0.03746236729217216,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
7.5,20B 120B,4B,0.018661666554746197,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
7.5,4B 20B 120B,30B,0.0026717945325631376,"{""30B"": 0.03505535055350553}"
7.5,30B 120B,4B,0.03181383873199966,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
7.5,4B 30B 120B,20B,0.012462113096408638,"{""20B"": 0.033271719038817}"
7.5,20B 30B 120B,4B,0.005512464895387302,"{""4B"": 0.007590132827324478}"
7.5,4B 20B 30B 120B,STOP,0.0,{}
10,none,4B,0.44930108783010336,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
10,4B,20B,0.23330124939352684,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
10,20B,4B,0.10196026860910605,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
10,4B 20B,30B,0.03936160784509268,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
10,30B,4B,0.14793993468862338,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
10,4B 30B,20B,0.09115629776784576,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
10,20B 30B,4B,0.009195588056562398,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
10,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
10,120B,4B,0.08109466101479552,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
10,4B 120B,20B,0.02800298766331614,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
10,20B 120B,4B,0.01534571811973594,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
10,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
10,30B 120B,4B,0.02433526900252156,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
10,4B 30B 120B,20B,0.005525577782272518,"{""20B"": 0.033271719038817}"
10,20B 30B 120B,4B,0.00481990891807491,"{""4B"": 0.007590132827324478}"
10,4B 20B 30B 120B,STOP,0.0,{}
12.5,none,4B,0.43771711022392934,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
12.5,4B,20B,0.21806123817658493,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
12.5,20B,4B,0.09120773221108669,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
12.5,4B 20B,30B,0.028567089171445223,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
12.5,30B,4B,0.14076537420123508,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
12.5,4B 30B,20B,0.08421976245370963,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
12.5,20B 30B,4B,0.008503032079250007,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
12.5,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
12.5,120B,4B,0.07386422117818242,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
12.5,4B 120B,20B,0.021066452349180018,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
12.5,20B 120B,4B,0.014653162142423548,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
12.5,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
12.5,30B 120B,4B,0.01823703928161164,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
12.5,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
12.5,20B 30B 120B,4B,0.004127352940762518,"{""4B"": 0.007590132827324478}"
12.5,4B 20B 30B 120B,STOP,0.0,{}
15,none,4B,0.4261331326177554,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
15,4B,20B,0.20282122695964308,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
15,20B,4B,0.08045519581306733,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
15,4B 20B,30B,0.01777257049779775,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
15,30B,4B,0.13359081371384676,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
15,4B 30B,20B,0.0772832271395735,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
15,20B 30B,4B,0.007810476101937614,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
15,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
15,120B,4B,0.06663378134156932,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
15,4B 120B,20B,0.014129917035043897,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
15,20B 120B,4B,0.013960606165111154,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
15,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
15,30B 120B,4B,0.017544483304299245,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
15,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
15,20B 30B 120B,4B,0.0034347969634501256,"{""4B"": 0.007590132827324478}"
15,4B 20B 30B 120B,STOP,0.0,{}
17.5,none,4B,0.4145491550115814,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
17.5,4B,20B,0.18758121574270126,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
17.5,20B,4B,0.069702659415048,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
17.5,4B 20B,30B,0.006978051824150289,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
17.5,30B,4B,0.12641625322645844,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
17.5,4B 30B,20B,0.07034669182543739,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
17.5,20B 30B,4B,0.007117920124625222,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
17.5,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
17.5,120B,4B,0.05940334150495622,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
17.5,4B 120B,20B,0.007193381720907777,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
17.5,20B 120B,4B,0.013268050187798763,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
17.5,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
17.5,30B 120B,4B,0.016851927326986853,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
17.5,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
17.5,20B 30B 120B,4B,0.002742240986137734,"{""4B"": 0.007590132827324478}"
17.5,4B 20B 30B 120B,STOP,0.0,{}
20,none,4B,0.4050632350975394,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
20,4B,20B,0.17527694825614182,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
20,20B,4B,0.06250688945960738,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
20,4B 20B,STOP,0.0,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
20,30B,4B,0.11924169273907015,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
20,4B 30B,20B,0.06341015651130127,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
20,20B 30B,4B,0.00642536414731283,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
20,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
20,120B,4B,0.05217290166834311,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
20,4B 120B,20B,0.0002568464067716561,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
20,20B 120B,4B,0.012575494210486371,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
20,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
20,30B 120B,4B,0.016159371349674462,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
20,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
20,20B 30B 120B,4B,0.0020496850088253414,"{""4B"": 0.007590132827324478}"
20,4B 20B 30B 120B,STOP,0.0,{}
22.5,none,4B,0.3994134169716428,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
22.5,4B,20B,0.1683404129420057,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
22.5,20B,4B,0.06181433348229498,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
22.5,4B 20B,STOP,0.0,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
22.5,30B,4B,0.11206713225168183,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
22.5,4B 30B,20B,0.05647362119716515,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
22.5,20B 30B,4B,0.005732808170000438,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
22.5,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
22.5,120B,4B,0.05123826057200456,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
22.5,4B 120B,STOP,0.0,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
22.5,20B 120B,4B,0.01188293823317398,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
22.5,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
22.5,30B 120B,4B,0.01546681537236207,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
22.5,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
22.5,20B 30B 120B,4B,0.0013571290315129497,"{""4B"": 0.007590132827324478}"
22.5,4B 20B 30B 120B,STOP,0.0,{}
25,none,4B,0.3937635988457462,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
25,4B,20B,0.16140387762786956,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
25,20B,4B,0.061121777504982586,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
25,4B 20B,STOP,0.0,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
25,30B,4B,0.10489257176429351,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
25,4B 30B,20B,0.04953708588302902,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
25,20B 30B,4B,0.005040252192688046,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
25,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
25,120B,4B,0.05054570459469217,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
25,4B 120B,STOP,0.0,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
25,20B 120B,4B,0.011190382255861588,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
25,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
25,30B 120B,4B,0.014774259395049678,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
25,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
25,20B 30B 120B,4B,0.000664573054200558,"{""4B"": 0.007590132827324478}"
25,4B 20B 30B 120B,STOP,0.0,{}
30,none,4B,0.38246396259395304,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
30,4B,20B,0.1475308069995973,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
30,20B,4B,0.0597366655503578,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
30,4B 20B,STOP,0.0,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
30,30B,4B,0.0905434507895169,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
30,4B 30B,20B,0.03566401525475678,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
30,20B 30B,4B,0.0036551402380632612,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
30,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
30,120B,4B,0.049160592640067384,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
30,4B 120B,STOP,0.0,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
30,20B 120B,4B,0.009805270301236802,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
30,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
30,30B 120B,4B,0.013389147440424893,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
30,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
30,20B 30B 120B,STOP,0.0,"{""4B"": 0.007590132827324478}"
30,4B 20B 30B 120B,STOP,0.0,{}
35,none,4B,0.37116432634215984,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
35,4B,20B,0.13365773637132508,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
35,20B,4B,0.05835155359573302,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
35,4B 20B,STOP,0.0,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
35,30B,4B,0.07619432981474027,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
35,4B 30B,20B,0.021790944626484537,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
35,20B 30B,4B,0.002270028283438478,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
35,4B 20B 30B,STOP,0.0,"{""120B"": 0.09515570934256055}"
35,120B,4B,0.0477754806854426,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
35,4B 120B,STOP,0.0,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
35,20B 120B,4B,0.008420158346612019,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
35,4B 20B 120B,STOP,0.0,"{""30B"": 0.03505535055350553}"
35,30B 120B,4B,0.01200403548580011,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
35,4B 30B 120B,STOP,0.0,"{""20B"": 0.033271719038817}"
