budget_pct_of_oss120,series,available,lambda,mean_reward,mean_cost,cost_pct_of_always_oss120,mean_utility_at_own_lambda,choice_counts_by_route
5,Post-scout reward + fixed train-mean cost,True,40.5,0.3111888111888112,0.00046763746153846155,3.362761754234518,0.2922494939965035,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 265, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 21}"
5,Post-scout reward + predicted expert cost,True,50.0,0.3181818181818182,0.0006529584335664334,4.695397242723871,0.2855338965034965,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 243, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 43}"
5,State policy w03 forced-scout max2,True,15.0,0.3321678321678322,0.0006783033671328,4.87765161768391,0.3219932816608392,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 253, 'solver:openai/gpt-oss-20b': 18, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 2, 'solver:openai/gpt-oss-120b': 13}"
5,State policy w03 flexible max2,True,15.0,0.3321678321678322,0.0006952730454545,4.999679876613681,0.321738736486014,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 252, 'solver:openai/gpt-oss-20b': 18, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 2, 'solver:openai/gpt-oss-120b': 14}"
5,Cascade order/threshold sweep,True,75.0,0.2902097902097902,0.0002618322587412,1.8828250047014838,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
5,Oracle post-scout,True,218.18823529411765,0.48951048951048953,0.0006841329615384615,4.919571991311733,0.3402407259258742,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 229, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 17, ""solver:openai/gpt-oss-120b"": 1, ""solver:openai/gpt-oss-20b"": 39}"
10,Best always direct,True,,0.2902097902097902,0.0002618322587412587,1.882825004701906,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
10,Input-only reward + fixed train-mean cost,True,44.0,0.3181818181818182,0.0011837145559440558,8.512042691284647,0.2660983777202797,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 199, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 87}"
10,Post-scout reward + fixed train-mean cost,True,40.0,0.33916083916083917,0.0013358372832167832,9.605950967023807,0.28572734783216786,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 214, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 72}"
10,Post-scout reward + predicted expert cost,True,37.5,0.34265734265734266,0.0011600907587412585,8.342164937132939,0.29915393920454547,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 201, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 85}"
10,State policy w03 forced-scout max2,True,10.0,0.3426573426573426,0.0013552277202797,9.745386802507454,0.3291050654545454,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 233, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 30}"
10,State policy w03 flexible max2,True,15.0,0.3321678321678322,0.0006952730454545,4.999679876613681,0.321738736486014,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 252, 'solver:openai/gpt-oss-20b': 18, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 2, 'solver:openai/gpt-oss-120b': 14}"
10,Cascade order/threshold sweep,True,75.0,0.2902097902097902,0.0002618322587412,1.8828250047014838,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
10,Oracle post-scout,True,27.0,0.5559440559440559,0.0013743898356643356,9.883180786192359,0.5188355303811188,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}"
15,Best always direct,True,,0.2902097902097902,0.0002618322587412587,1.882825004701906,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
15,Input-only reward + fixed train-mean cost,True,42.0,0.34615384615384615,0.0020275228636363637,14.579833530106631,0.2609978858811189,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 131, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 155}"
15,Post-scout reward + fixed train-mean cost,True,39.0,0.36363636363636365,0.0020659388706293705,14.856081456527008,0.2830647476818182,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 168, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 118}"
15,Post-scout reward + predicted expert cost,True,24.5,0.3706293706293706,0.0020616830559440557,14.82547806814618,0.32011813575874126,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 139, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 147}"
15,State policy w03 forced-scout max2,True,10.0,0.3426573426573426,0.0013552277202797,9.745386802507454,0.3291050654545454,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 233, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 30}"
15,State policy w03 flexible max2,True,10.0,0.3461538461538461,0.0014069687062937,10.117454105075241,0.332084159090909,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 231, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 32}"
15,Cascade order/threshold sweep,True,75.0,0.2902097902097902,0.0002618322587412,1.8828250047014838,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
15,Oracle post-scout,True,0.25,0.5594405594405595,0.0015060818636363634,10.830172743476977,0.5590640389746504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
20,Best always direct,True,,0.2902097902097902,0.0002618322587412587,1.882825004701906,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
20,Input-only reward + fixed train-mean cost,True,32.0,0.38461538461538464,0.0027003955209790207,19.418433137028703,0.298202727944056,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 43, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 243}"
20,Post-scout reward + fixed train-mean cost,True,19.75,0.3811188811188811,0.0024815098636363636,17.84443537679616,0.3321090613120629,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
20,Post-scout reward + predicted expert cost,True,20.0,0.3776223776223776,0.002454062811188811,17.64706475141159,0.3285411213986014,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 119, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 167}"
20,State policy w03 forced-scout max2,True,10.0,0.3426573426573426,0.0013552277202797,9.745386802507454,0.3291050654545454,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 233, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 30}"
20,State policy w03 flexible max2,True,10.0,0.3461538461538461,0.0014069687062937,10.117454105075241,0.332084159090909,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 231, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 32}"
20,Cascade order/threshold sweep,True,75.0,0.2902097902097902,0.0002618322587412,1.8828250047014838,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
20,Oracle post-scout,True,0.25,0.5594405594405595,0.0015060818636363634,10.830172743476977,0.5590640389746504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
25,Best always direct,True,,0.3881118881118881,0.0030106595979020974,21.64952935450739,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
25,Input-only reward + fixed train-mean cost,True,29.5,0.3881118881118881,0.002913185374125874,20.94859621998044,0.30217291957517484,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 9, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 277}"
25,Post-scout reward + fixed train-mean cost,True,19.75,0.3811188811188811,0.0024815098636363636,17.84443537679616,0.3321090613120629,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
25,Post-scout reward + predicted expert cost,True,6.5,0.3881118881118881,0.003232372426573426,23.243857187496396,0.3671014673391608,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 95, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 13, ""solver:openai/gpt-oss-20b"": 178}"
25,State policy w03 forced-scout max2,True,10.0,0.3426573426573426,0.0013552277202797,9.745386802507454,0.3291050654545454,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 233, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 30}"
25,State policy w03 flexible max2,True,10.0,0.3461538461538461,0.0014069687062937,10.117454105075241,0.332084159090909,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 231, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 32}"
25,Cascade order/threshold sweep,True,15.0,0.3846153846153846,0.0029151124300699,20.962453600023352,0.3408886981643357,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
25,Oracle post-scout,True,0.25,0.5594405594405595,0.0015060818636363634,10.830172743476977,0.5590640389746504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
30,Best always direct,True,,0.3881118881118881,0.0030106595979020974,21.64952935450739,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
30,Input-only reward + fixed train-mean cost,True,29.5,0.3881118881118881,0.002913185374125874,20.94859621998044,0.30217291957517484,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 9, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 277}"
30,Post-scout reward + fixed train-mean cost,True,19.75,0.3811188811188811,0.0024815098636363636,17.84443537679616,0.3321090613120629,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
30,Post-scout reward + predicted expert cost,True,6.5,0.3881118881118881,0.003232372426573426,23.243857187496396,0.3671014673391608,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 95, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 13, ""solver:openai/gpt-oss-20b"": 178}"
30,State policy w03 forced-scout max2,True,5.0,0.3671328671328671,0.0038776870664335,27.884288224030453,0.3477444318006993,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 204, 'solver:openai/gpt-oss-20b': 5, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 4, 'solver:openai/gpt-oss-120b': 73}"
30,State policy w03 flexible max2,True,5.0,0.3741258741258741,0.004160129555944,29.91532055059392,0.3533252263461538,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 193, 'solver:openai/gpt-oss-20b': 5, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 4, 'solver:openai/gpt-oss-120b': 84}"
30,Cascade order/threshold sweep,True,15.0,0.3846153846153846,0.0029151124300699,20.962453600023352,0.3408886981643357,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
30,Oracle post-scout,True,0.25,0.5594405594405595,0.0015060818636363634,10.830172743476977,0.5590640389746504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
35,Best always direct,True,,0.4020979020979021,0.004328844195804196,31.12854058740368,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
35,Input-only reward + fixed train-mean cost,True,4.75,0.3916083916083916,0.004804734104895105,34.55064535260422,0.3687859046101399,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 48, ""solver:openai/gpt-oss-20b"": 238}"
35,Post-scout reward + fixed train-mean cost,True,19.75,0.3811188811188811,0.0024815098636363636,17.84443537679616,0.3321090613120629,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
35,Post-scout reward + predicted expert cost,True,5.0,0.3916083916083916,0.004535712849650349,32.61612456969465,0.36892982736013985,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 91, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 48, ""solver:openai/gpt-oss-20b"": 147}"
35,State policy w03 forced-scout max2,True,5.0,0.3671328671328671,0.0038776870664335,27.884288224030453,0.3477444318006993,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 204, 'solver:openai/gpt-oss-20b': 5, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 4, 'solver:openai/gpt-oss-120b': 73}"
35,State policy w03 flexible max2,True,5.0,0.3741258741258741,0.004160129555944,29.91532055059392,0.3533252263461538,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 193, 'solver:openai/gpt-oss-20b': 5, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 4, 'solver:openai/gpt-oss-120b': 84}"
35,Cascade order/threshold sweep,True,15.0,0.3846153846153846,0.0029151124300699,20.962453600023352,0.3408886981643357,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
35,Oracle post-scout,True,0.25,0.5594405594405595,0.0015060818636363634,10.830172743476977,0.5590640389746504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
40,Best always direct,True,,0.4020979020979021,0.004328844195804196,31.12854058740368,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
40,Input-only reward + fixed train-mean cost,True,4.75,0.3916083916083916,0.004804734104895105,34.55064535260422,0.3687859046101399,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 48, ""solver:openai/gpt-oss-20b"": 238}"
40,Post-scout reward + fixed train-mean cost,True,19.75,0.3811188811188811,0.0024815098636363636,17.84443537679616,0.3321090613120629,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
40,Post-scout reward + predicted expert cost,True,5.0,0.3916083916083916,0.004535712849650349,32.61612456969465,0.36892982736013985,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 91, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 48, ""solver:openai/gpt-oss-20b"": 147}"
40,State policy w03 forced-scout max2,True,5.0,0.3671328671328671,0.0038776870664335,27.884288224030453,0.3477444318006993,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 204, 'solver:openai/gpt-oss-20b': 5, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 4, 'solver:openai/gpt-oss-120b': 73}"
40,State policy w03 flexible max2,True,5.0,0.3741258741258741,0.004160129555944,29.91532055059392,0.3533252263461538,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 193, 'solver:openai/gpt-oss-20b': 5, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 4, 'solver:openai/gpt-oss-120b': 84}"
40,Cascade order/threshold sweep,True,15.0,0.3846153846153846,0.0029151124300699,20.962453600023352,0.3408886981643357,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
40,Oracle post-scout,True,0.25,0.5594405594405595,0.0015060818636363634,10.830172743476977,0.5590640389746504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
50,Best always direct,True,,0.4020979020979021,0.004328844195804196,31.12854058740368,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
50,Input-only reward + fixed train-mean cost,True,4.75,0.3916083916083916,0.004804734104895105,34.55064535260422,0.3687859046101399,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 48, ""solver:openai/gpt-oss-20b"": 238}"
50,Post-scout reward + fixed train-mean cost,True,19.75,0.3811188811188811,0.0024815098636363636,17.84443537679616,0.3321090613120629,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
50,Post-scout reward + predicted expert cost,True,5.0,0.3916083916083916,0.004535712849650349,32.61612456969465,0.36892982736013985,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 91, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 48, ""solver:openai/gpt-oss-20b"": 147}"
50,State policy w03 forced-scout max2,True,5.0,0.3671328671328671,0.0038776870664335,27.884288224030453,0.3477444318006993,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 204, 'solver:openai/gpt-oss-20b': 5, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 4, 'solver:openai/gpt-oss-120b': 73}"
50,State policy w03 flexible max2,True,5.0,0.3741258741258741,0.004160129555944,29.91532055059392,0.3533252263461538,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 193, 'solver:openai/gpt-oss-20b': 5, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 4, 'solver:openai/gpt-oss-120b': 84}"
50,Cascade order/threshold sweep,True,15.0,0.3846153846153846,0.0029151124300699,20.962453600023352,0.3408886981643357,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
50,Oracle post-scout,True,0.25,0.5594405594405595,0.0015060818636363634,10.830172743476977,0.5590640389746504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
75,Best always direct,True,,0.4020979020979021,0.004328844195804196,31.12854058740368,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
75,Input-only reward + fixed train-mean cost,True,4.0,0.4195804195804196,0.010347832961538463,74.41084126962504,0.37818908773426574,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 184, ""solver:openai/gpt-oss-20b"": 102}"
75,Post-scout reward + fixed train-mean cost,True,2.0,0.3986013986013986,0.010428634342657343,74.99188067827718,0.3777441299160839,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 89, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 162, ""solver:openai/gpt-oss-20b"": 35}"
