policy,policy_type,lambda,cost_metric,cost_accounting,mean_true_reward,mean_pred_reward,mean_true_cost,mean_pred_cost,mean_true_utility,mean_pred_utility,utility_oracle_match_rate,reward_oracle_match_rate,choice_counts_by_route
always_direct::solver:openai/gpt-oss-120b,always_direct,0.0,output_tokens,direct,0.47202797202797203,0.4784934807282228,0.013906351258741255,5.1429933417442106e-05,0.47202797202797203,0.4784934807282228,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:openai/gpt-oss-120b,always_after_primary,0.0,output_tokens,after_primary,0.47202797202797203,0.4784934807282228,0.01416818351748252,0.000313262192158701,0.47202797202797203,0.4784934807282228,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,5.0,output_tokens,after_primary,0.42657342657342656,0.48433475967470585,0.01165782369230769,0.00029833523981591625,0.3682843081118881,0.48284308347562627,0.26223776223776224,0.26223776223776224,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 203, ""solver:openai/gpt-oss-20b"": 0}"
reward_only_router_after_primary_weighted,router_after_primary,5.0,output_tokens,after_primary,0.42657342657342656,0.4843356122712155,0.011694677223776222,0.0002985150826152269,0.3681000404545455,0.4828430368581394,0.25874125874125875,0.25874125874125875,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
oracle_after_primary_utility_weighted,oracle_after_primary,5.0,output_tokens,after_primary,0.5594405594405595,0.4092880037281063,0.0015060818636363632,0.0002670837927954794,0.5519101501223777,0.40795258476412893,1.0,0.993006993006993,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
oracle_direct_utility_weighted,oracle_direct,5.0,output_tokens,direct,0.5594405594405595,0.4092880037281063,0.0014218673041958034,0.0001828692333549201,0.5523312229195805,0.4083736575613317,1.0,0.993006993006993,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
oracle_reward_after_primary_weighted,oracle_after_primary,5.0,output_tokens,after_primary,0.5594405594405595,0.4094069934599883,0.0015183894545454542,0.0002669713823182775,0.5518486121678322,0.4080721365483969,0.993006993006993,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,5.0,output_tokens,direct,0.2902097902097902,0.3907502203971356,0.00026183225874125865,0.00026183225874125865,0.2889006289160839,0.3894410591034293,0.7307692307692307,0.7307692307692307,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-20b,always_direct,5.0,output_tokens,direct,0.3881118881118881,0.44919616744651664,0.0030106595979021,7.928410393198772e-06,0.37305859012237763,0.44915652539455064,0.14685314685314685,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_after_primary::solver:openai/gpt-oss-20b,always_after_primary,5.0,output_tokens,after_primary,0.3881118881118881,0.44919616744651664,0.003272491856643357,0.00026976066913445733,0.37174942882867135,0.44784736410084436,0.14685314685314685,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,5.0,output_tokens,direct,0.4020979020979021,0.43522900426304423,0.004328844195804197,2.4006373800669278e-05,0.3804536811188811,0.4351089723940409,0.08041958041958042,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_after_primary,5.0,output_tokens,after_primary,0.4020979020979021,0.43522900426304423,0.004590676454545456,0.0002858386325419279,0.37914451982517483,0.4337998111003346,0.08041958041958042,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-120b,always_direct,5.0,output_tokens,direct,0.47202797202797203,0.4784934807282228,0.013906351258741255,5.1429933417442106e-05,0.40249621573426575,0.47823633106113556,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:openai/gpt-oss-120b,always_after_primary,5.0,output_tokens,after_primary,0.47202797202797203,0.4784934807282228,0.01416818351748252,0.000313262192158701,0.40118705444055947,0.47692716976742927,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,10.0,output_tokens,after_primary,0.42657342657342656,0.48433475967470585,0.01165782369230769,0.00029833523981591625,0.30999518965034967,0.4813514072765467,0.26223776223776224,0.26223776223776224,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 203, ""solver:openai/gpt-oss-20b"": 0}"
reward_only_router_after_primary_weighted,router_after_primary,10.0,output_tokens,after_primary,0.42657342657342656,0.4843356122712155,0.011694677223776222,0.0002985150826152269,0.30962665433566433,0.48135046144506327,0.25874125874125875,0.25874125874125875,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
oracle_after_primary_utility_weighted,oracle_after_primary,10.0,output_tokens,after_primary,0.5594405594405595,0.4092880037281063,0.0015060818636363632,0.0002670837927954794,0.5443797408041958,0.4066171658001515,1.0,0.993006993006993,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
oracle_direct_utility_weighted,oracle_direct,10.0,output_tokens,direct,0.5594405594405595,0.4092880037281063,0.0014218673041958034,0.0001828692333549201,0.5452218863986015,0.4074593113945571,1.0,0.993006993006993,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
oracle_reward_after_primary_weighted,oracle_after_primary,10.0,output_tokens,after_primary,0.5594405594405595,0.4094069934599883,0.0015183894545454542,0.0002669713823182775,0.5442566648951049,0.40673727963680556,0.993006993006993,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,10.0,output_tokens,direct,0.2902097902097902,0.3907502203971356,0.00026183225874125865,0.00026183225874125865,0.28759146762237764,0.388131897809723,0.7307692307692307,0.7307692307692307,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-20b,always_direct,10.0,output_tokens,direct,0.3881118881118881,0.44919616744651664,0.0030106595979021,7.928410393198772e-06,0.35800529213286714,0.44911688334258465,0.14685314685314685,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_after_primary::solver:openai/gpt-oss-20b,always_after_primary,10.0,output_tokens,after_primary,0.3881118881118881,0.44919616744651664,0.003272491856643357,0.00026976066913445733,0.35538696954545457,0.4464985607551721,0.14685314685314685,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,10.0,output_tokens,direct,0.4020979020979021,0.43522900426304423,0.004328844195804197,2.4006373800669278e-05,0.3588094601398601,0.43498894052503756,0.08041958041958042,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_after_primary,10.0,output_tokens,after_primary,0.4020979020979021,0.43522900426304423,0.004590676454545456,0.0002858386325419279,0.3561911375524475,0.43237061793762493,0.08041958041958042,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-120b,always_direct,10.0,output_tokens,direct,0.47202797202797203,0.4784934807282228,0.013906351258741255,5.1429933417442106e-05,0.33296445944055947,0.4779791813940484,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:openai/gpt-oss-120b,always_after_primary,10.0,output_tokens,after_primary,0.47202797202797203,0.4784934807282228,0.01416818351748252,0.000313262192158701,0.33034613685314684,0.47536085880663576,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,15.0,output_tokens,after_primary,0.42657342657342656,0.48433475967470585,0.01165782369230769,0.00029833523981591625,0.2517060711888112,0.4798597310774671,0.26223776223776224,0.26223776223776224,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 203, ""solver:openai/gpt-oss-20b"": 0}"
reward_only_router_after_primary_weighted,router_after_primary,15.0,output_tokens,after_primary,0.42657342657342656,0.4843356122712155,0.011694677223776222,0.0002985150826152269,0.25115326821678324,0.4798578860319871,0.25874125874125875,0.25874125874125875,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
oracle_after_primary_utility_weighted,oracle_after_primary,15.0,output_tokens,after_primary,0.5594405594405595,0.4092880037281063,0.0015060818636363632,0.0002670837927954794,0.536849331486014,0.40528174683617413,1.0,0.993006993006993,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
oracle_direct_utility_weighted,oracle_direct,15.0,output_tokens,direct,0.5594405594405595,0.4092880037281063,0.0014218673041958034,0.0001828692333549201,0.5381125498776225,0.4065449652277825,1.0,0.993006993006993,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
oracle_reward_after_primary_weighted,oracle_after_primary,15.0,output_tokens,after_primary,0.5594405594405595,0.4094069934599883,0.0015183894545454542,0.0002669713823182775,0.5366647176223777,0.40540242272521415,0.993006993006993,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,15.0,output_tokens,direct,0.2902097902097902,0.3907502203971356,0.00026183225874125865,0.00026183225874125865,0.28628230632867135,0.38682273651601673,0.7307692307692307,0.7307692307692307,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-20b,always_direct,15.0,output_tokens,direct,0.3881118881118881,0.44919616744651664,0.0030106595979021,7.928410393198772e-06,0.34295199414335664,0.44907724129061866,0.14685314685314685,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_after_primary::solver:openai/gpt-oss-20b,always_after_primary,15.0,output_tokens,after_primary,0.3881118881118881,0.44919616744651664,0.003272491856643357,0.00026976066913445733,0.3390245102622378,0.4451497574094998,0.14685314685314685,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,15.0,output_tokens,direct,0.4020979020979021,0.43522900426304423,0.004328844195804197,2.4006373800669278e-05,0.3371652391608391,0.43486890865603417,0.08041958041958042,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_after_primary,15.0,output_tokens,after_primary,0.4020979020979021,0.43522900426304423,0.004590676454545456,0.0002858386325419279,0.3332377552797202,0.4309414247749153,0.08041958041958042,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-120b,always_direct,15.0,output_tokens,direct,0.47202797202797203,0.4784934807282228,0.013906351258741255,5.1429933417442106e-05,0.2634327031468532,0.47772203172696115,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:openai/gpt-oss-120b,always_after_primary,15.0,output_tokens,after_primary,0.47202797202797203,0.4784934807282228,0.01416818351748252,0.000313262192158701,0.2595052192657342,0.4737945478458423,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,20.0,output_tokens,after_primary,0.42657342657342656,0.4843313538736397,0.011605286979020978,0.00029815539701660555,0.19446768699300698,0.47836824593330757,0.26573426573426573,0.26573426573426573,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 202, ""solver:openai/gpt-oss-20b"": 0}"
reward_only_router_after_primary_weighted,router_after_primary,20.0,output_tokens,after_primary,0.42657342657342656,0.4843356122712155,0.011694677223776222,0.0002985150826152269,0.19267988209790213,0.47836531061891097,0.25874125874125875,0.25874125874125875,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
oracle_after_primary_utility_weighted,oracle_after_primary,20.0,output_tokens,after_primary,0.5594405594405595,0.4092880037281063,0.0015060818636363632,0.0002670837927954794,0.5293189221678323,0.4039463278721967,1.0,0.993006993006993,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
oracle_direct_utility_weighted,oracle_direct,20.0,output_tokens,direct,0.5594405594405595,0.4092880037281063,0.0014218673041958034,0.0001828692333549201,0.5310032133566435,0.4056306190610079,1.0,0.993006993006993,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
oracle_reward_after_primary_weighted,oracle_after_primary,20.0,output_tokens,after_primary,0.5594405594405595,0.4094069934599883,0.0015183894545454542,0.0002669713823182775,0.5290727703496504,0.4040675658136228,0.993006993006993,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,20.0,output_tokens,direct,0.2902097902097902,0.3907502203971356,0.00026183225874125865,0.00026183225874125865,0.284973145034965,0.3855135752223104,0.7307692307692307,0.7307692307692307,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-20b,always_direct,20.0,output_tokens,direct,0.3881118881118881,0.44919616744651664,0.0030106595979021,7.928410393198772e-06,0.32789869615384615,0.44903759923865266,0.14685314685314685,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_after_primary::solver:openai/gpt-oss-20b,always_after_primary,20.0,output_tokens,after_primary,0.3881118881118881,0.44919616744651664,0.003272491856643357,0.00026976066913445733,0.322662050979021,0.44380095406382747,0.14685314685314685,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,20.0,output_tokens,direct,0.4020979020979021,0.43522900426304423,0.004328844195804197,2.4006373800669278e-05,0.31552101818181816,0.43474887678703084,0.08041958041958042,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_after_primary,20.0,output_tokens,after_primary,0.4020979020979021,0.43522900426304423,0.004590676454545456,0.0002858386325419279,0.31028437300699296,0.42951223161220564,0.08041958041958042,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-120b,always_direct,20.0,output_tokens,direct,0.47202797202797203,0.4784934807282228,0.013906351258741255,5.1429933417442106e-05,0.1939009468531469,0.4774648820598739,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
