budget_frac_of_120b,system,mean_reward,mean_true_cost,cost_frac_of_120b,lambda,choice_counts_by_route
0.12,BCE input-only r32 qkvo+mlp,0.5299397168339975,0.0013955740769230768,0.10035515793877609,40,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 149, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 137}"
0.12,best_always_under_cap,0.5249824522310292,0.0002618322587412587,0.01882825004701906,0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
0.15,Q old allsubsets final ep4 direct,0.539798277945261,0.0012849693776223775,0.09240161949847707,60,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 153, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 126}"
0.15,Q old allsubsets bestdiag ep0 direct,0.5186046977265886,0.0008323480349650349,0.059853804889462806,150,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 187, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 99}"
0.15,Q bare-only final direct (epoch_0009),0.5269709119711422,0.0002598657342657342,0.018686838080721406,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
0.15,Q r32 qkvo latest direct (epoch_0003),0.525652429913352,0.0017941483146853149,0.12901646746176848,60,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 165, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 12, ""solver:openai/gpt-oss-120b"": 27, ""solver:openai/gpt-oss-20b"": 82}"
0.15,Q r16 qkvo+mlp latest direct (epoch_0003),0.5348099629377113,0.0011013209125874124,0.07919553390362864,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 211, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 17, ""solver:openai/gpt-oss-120b"": 15, ""solver:openai/gpt-oss-20b"": 43}"
0.15,Q r32 qkvo+mlp latest direct (epoch_0003),0.5441088802679596,0.0012073758356643358,0.08682189980678094,100,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 208, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 7, ""solver:openai/gpt-oss-20b"": 70}"
0.15,Q bare-out latest direct (epoch_0004),0.5361977227087179,0.0019054617692307691,0.13702097220024076,60,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 152, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 35, ""solver:openai/gpt-oss-120b"": 21, ""solver:openai/gpt-oss-20b"": 78}"
0.15,BCE post-scout r32 qkvo+mlp,0.5572364418267735,0.002021527006993007,0.1453671757156511,25,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 123, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 163}"
0.15,BCE input-only r32 qkvo+mlp,0.5365725236501078,0.0019767633076923073,0.1421482365081029,25,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 112, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 174}"
0.15,best_always_under_cap,0.5249824522310292,0.0002618322587412587,0.01882825004701906,0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
0.18,Q old allsubsets final ep4 direct,0.539798277945261,0.0012849693776223775,0.09240161949847707,60,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 153, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 126}"
0.18,Q old allsubsets bestdiag ep0 direct,0.518626517689565,0.0024748078881118877,0.17796241746419802,20,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 73, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 19, ""solver:openai/gpt-oss-20b"": 194}"
0.18,Q bare-only final direct (epoch_0009),0.5269709119711422,0.0002598657342657342,0.018686838080721406,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
0.18,Q r32 qkvo latest direct (epoch_0003),0.528971248872363,0.0021430855279720275,0.15410839896805612,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 161, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 13, ""solver:openai/gpt-oss-120b"": 36, ""solver:openai/gpt-oss-20b"": 76}"
0.18,Q r16 qkvo+mlp latest direct (epoch_0003),0.5348099629377113,0.0011013209125874124,0.07919553390362864,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 211, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 17, ""solver:openai/gpt-oss-120b"": 15, ""solver:openai/gpt-oss-20b"": 43}"
0.18,Q r32 qkvo+mlp latest direct (epoch_0003),0.5441088802679596,0.0012073758356643358,0.08682189980678094,100,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 208, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 7, ""solver:openai/gpt-oss-20b"": 70}"
0.18,Q bare-out latest direct (epoch_0004),0.536624738962335,0.002288331986013986,0.16455301203294323,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 145, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 36, ""solver:openai/gpt-oss-120b"": 31, ""solver:openai/gpt-oss-20b"": 74}"
0.18,BCE post-scout r32 qkvo+mlp,0.5576304609346932,0.002298243800699301,0.16526576655070968,20,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 109, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 177}"
0.18,BCE input-only r32 qkvo+mlp,0.5365725236501078,0.0019767633076923073,0.1421482365081029,25,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 112, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 174}"
0.18,best_always_under_cap,0.5249824522310292,0.0002618322587412587,0.01882825004701906,0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
0.2,Q old allsubsets final ep4 direct,0.539798277945261,0.0012849693776223775,0.09240161949847707,60,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 153, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 126}"
0.2,Q old allsubsets bestdiag ep0 direct,0.518626517689565,0.0024748078881118877,0.17796241746419802,20,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 73, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 19, ""solver:openai/gpt-oss-20b"": 194}"
0.2,Q bare-only final direct (epoch_0009),0.5269709119711422,0.0002598657342657342,0.018686838080721406,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
0.2,Q r32 qkvo latest direct (epoch_0003),0.5338954952573575,0.0026501905874125875,0.1905741152444089,35,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 155, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 13, ""solver:openai/gpt-oss-120b"": 49, ""solver:openai/gpt-oss-20b"": 69}"
0.2,Q r16 qkvo+mlp latest direct (epoch_0003),0.5348099629377113,0.0011013209125874124,0.07919553390362864,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 211, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 17, ""solver:openai/gpt-oss-120b"": 15, ""solver:openai/gpt-oss-20b"": 43}"
0.2,Q r32 qkvo+mlp latest direct (epoch_0003),0.5441088802679596,0.0012073758356643358,0.08682189980678094,100,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 208, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 7, ""solver:openai/gpt-oss-20b"": 70}"
0.2,Q bare-out latest direct (epoch_0004),0.536624738962335,0.002288331986013986,0.16455301203294323,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 145, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 36, ""solver:openai/gpt-oss-120b"": 31, ""solver:openai/gpt-oss-20b"": 74}"
0.2,BCE post-scout r32 qkvo+mlp,0.560045244686072,0.0026253333426573423,0.18878664099665318,10,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 92, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 3, ""solver:openai/gpt-oss-20b"": 190}"
0.2,BCE input-only r32 qkvo+mlp,0.5365725236501078,0.0019767633076923073,0.1421482365081029,25,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 112, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 174}"
0.2,best_always_under_cap,0.5249824522310292,0.0002618322587412587,0.01882825004701906,0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
0.25,Q old allsubsets final ep4 direct,0.539798277945261,0.0012849693776223775,0.09240161949847707,60,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 153, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 126}"
0.25,Q old allsubsets bestdiag ep0 direct,0.5386324028755933,0.002890580374125874,0.20786044594615802,15,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 56, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 33, ""solver:openai/gpt-oss-20b"": 196}"
0.25,Q bare-only final direct (epoch_0009),0.5269709119711422,0.0002598657342657342,0.018686838080721406,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
0.25,Q r32 qkvo latest direct (epoch_0003),0.5398704088549138,0.0033043066853146856,0.23761133483793337,25,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 148, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 11, ""solver:openai/gpt-oss-120b"": 68, ""solver:openai/gpt-oss-20b"": 59}"
0.25,Q r16 qkvo+mlp latest direct (epoch_0003),0.5348099629377113,0.0011013209125874124,0.07919553390362864,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 211, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 17, ""solver:openai/gpt-oss-120b"": 15, ""solver:openai/gpt-oss-20b"": 43}"
0.25,Q r32 qkvo+mlp latest direct (epoch_0003),0.5441088802679596,0.0012073758356643358,0.08682189980678094,100,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 208, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 7, ""solver:openai/gpt-oss-20b"": 70}"
0.25,Q bare-out latest direct (epoch_0004),0.5623396213564279,0.003450841346153846,0.2481485820361912,30,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 132, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 41, ""solver:openai/gpt-oss-120b"": 63, ""solver:openai/gpt-oss-20b"": 50}"
0.25,BCE post-scout r32 qkvo+mlp,0.560045244686072,0.0026253333426573423,0.18878664099665318,10,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 92, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 3, ""solver:openai/gpt-oss-20b"": 190}"
0.25,BCE input-only r32 qkvo+mlp,0.5365725236501078,0.0019767633076923073,0.1421482365081029,25,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 112, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 174}"
0.25,best_always_under_cap,0.5344690677930728,0.0030106595979020974,0.21649529354507394,0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
0.3,Q old allsubsets final ep4 direct,0.539798277945261,0.0012849693776223775,0.09240161949847707,60,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 153, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 126}"
0.3,Q old allsubsets bestdiag ep0 direct,0.5386324028755933,0.002890580374125874,0.20786044594615802,15,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 56, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 33, ""solver:openai/gpt-oss-20b"": 196}"
0.3,Q bare-only final direct (epoch_0009),0.5269709119711422,0.0002598657342657342,0.018686838080721406,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
0.3,Q r32 qkvo latest direct (epoch_0003),0.5421357804009024,0.0036435697972027965,0.262007605691142,20,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 144, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 10, ""solver:openai/gpt-oss-120b"": 75, ""solver:openai/gpt-oss-20b"": 57}"
0.3,Q r16 qkvo+mlp latest direct (epoch_0003),0.5355275430435482,0.0041022902622377625,0.2949940056820543,20,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 154, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 30, ""solver:openai/gpt-oss-120b"": 86, ""solver:openai/gpt-oss-20b"": 16}"
