fold,pred_key,calibrator_model,route,params_json,train_n,valid_n,train_positive_rate
3,input_pred_rewards,route_scalar,gemini,"[0.6588506902357651, -0.24049270720954205]",221,55,0.5113122171945701
4,input_pred_rewards,route_scalar,scout,"[-0.020001754887354818, -2.5444256357130084]",221,55,0.07239819004524888
4,input_pred_rewards,route_scalar,oss,"[0.7906075723392493, 0.010594047821094403]",221,55,0.5701357466063348
4,input_pred_rewards,route_scalar,gemini,"[1.0970409291933285, -0.22473056962421958]",221,55,0.5610859728506787
0,post_pred_rewards,route_vector,scout,"[0.7373555101658961, 0.7064817467473837, 0.6085172268449534, -3.451694063485106]",220,56,0.06818181818181818
0,post_pred_rewards,route_vector,oss,"[0.6116564528170076, 1.291554083422577, 1.4926894324865838, -1.11182209604345]",220,56,0.5681818181818182
0,post_pred_rewards,route_vector,gemini,"[0.35656731497798877, 1.0643233378554293, 1.4397556069556394, -1.140969213658464]",220,56,0.5136363636363637
1,post_pred_rewards,route_vector,scout,"[0.9364235547971691, 0.7996677263953084, 0.7167119719275475, -3.3791140783177367]",221,55,0.08597285067873303
1,post_pred_rewards,route_vector,oss,"[0.6418502720142869, 1.339188447685356, 1.5009726396200955, -0.9795630914880062]",221,55,0.6108597285067874
1,post_pred_rewards,route_vector,gemini,"[0.48715973879344104, 1.13852561270681, 1.3821656867583785, -0.989956051723391]",221,55,0.5656108597285068
2,post_pred_rewards,route_vector,scout,"[0.8164625967382175, 0.7036236963936923, 0.574481915820652, -3.3479750261469587]",221,55,0.07692307692307693
2,post_pred_rewards,route_vector,oss,"[0.6479698007444707, 1.190542494588038, 1.3485557648469868, -0.9036970022358468]",221,55,0.6018099547511312
2,post_pred_rewards,route_vector,gemini,"[0.4142852897641799, 0.9232224751219947, 1.2309580672924254, -0.8937464871758378]",221,55,0.5475113122171946
3,post_pred_rewards,route_vector,scout,"[0.9109509710339073, 0.8170653935065209, 0.7247339357719871, -3.2692347908492683]",221,55,0.09502262443438914
3,post_pred_rewards,route_vector,oss,"[0.49523402680321255, 1.171632928177667, 1.3088167602782461, -0.9734224348317915]",221,55,0.5656108597285068
3,post_pred_rewards,route_vector,gemini,"[0.1990908753112854, 0.8920974445330797, 1.136565878528987, -0.9049364868197122]",221,55,0.5113122171945701
4,post_pred_rewards,route_vector,scout,"[0.7088285771323324, 0.6879529300341417, 0.6206949414742082, -3.386966157489582]",221,55,0.07239819004524888
4,post_pred_rewards,route_vector,oss,"[0.5870064609278084, 1.1929356885918512, 1.3601570712429056, -1.0220170198506728]",221,55,0.5701357466063348
4,post_pred_rewards,route_vector,gemini,"[0.27454705195394946, 1.169032151323773, 1.4286111389006027, -0.9723251974327372]",221,55,0.5610859728506787
0,input_pred_rewards,route_vector,scout,"[0.1482821876612425, 0.1535205706294119, 0.1456397820386305, -2.7751346464347866]",220,56,0.06818181818181818
0,input_pred_rewards,route_vector,oss,"[0.31490827846421904, 0.7346107485390398, 1.0052893923390522, -0.50174140998703]",220,56,0.5681818181818182
0,input_pred_rewards,route_vector,gemini,"[0.121745676883286, 0.6712703831541531, 1.0240067043496281, -0.6508652442772365]",220,56,0.5136363636363637
1,input_pred_rewards,route_vector,scout,"[0.06218931667576333, 0.06458558278515872, 0.054213620945910604, -2.4284077170100673]",221,55,0.08597285067873303
1,input_pred_rewards,route_vector,oss,"[0.2895744784952587, 0.6429806208893485, 0.8791215485669164, -0.23688003921052214]",221,55,0.6108597285067874
1,input_pred_rewards,route_vector,gemini,"[0.16636977624246213, 0.6125544816659924, 0.8932009049277915, -0.38298752974796635]",221,55,0.5656108597285068
2,input_pred_rewards,route_vector,scout,"[0.1506360101938265, 0.14152968040570826, 0.12823011921021787, -2.6361368585234204]",221,55,0.07692307692307693
2,input_pred_rewards,route_vector,oss,"[0.2901444096796092, 0.5487472608759966, 0.7297549870000323, -0.18243593510154243]",221,55,0.6018099547511312
2,input_pred_rewards,route_vector,gemini,"[0.17736689511137935, 0.6066171930483013, 0.8897707798027992, -0.46071702609917053]",221,55,0.5475113122171946
3,input_pred_rewards,route_vector,scout,"[0.05303870176237864, 0.06466123789301854, 0.06300144155819229, -2.319735220785475]",221,55,0.09502262443438914
3,input_pred_rewards,route_vector,oss,"[0.11047829989374024, 0.45303517886183153, 0.6772063368968858, -0.22048610060920756]",221,55,0.5656108597285068
3,input_pred_rewards,route_vector,gemini,"[0.007875081981577763, 0.3746188168682479, 0.6181507437872027, -0.35562161422933725]",221,55,0.5113122171945701
4,input_pred_rewards,route_vector,scout,"[-0.021095745575225505, 0.001304872815929548, 0.012705067884366043, -2.5500220681468595]",221,55,0.07239819004524888
4,input_pred_rewards,route_vector,oss,"[0.3949762408334782, 0.6531107320631224, 0.8358522936902274, -0.41834168283965995]",221,55,0.5701357466063348
4,input_pred_rewards,route_vector,gemini,"[0.27074190640092116, 0.7101851611232627, 0.991571466545195, -0.5045157263455324]",221,55,0.5610859728506787
