policy,decision_cost,lambda,reward,cost,utility,counts
post_scout,true,50,0.42990654205607476,0.0007557986822429903,0.3921166079439252,"{'4B': 72, '20B': 34, '30B': 1}"
post_scout,true,75,0.34579439252336447,0.00044575044859813067,0.31236310887850466,"{'4B': 89, '20B': 17, '30B': 1}"
post_scout,true,100,0.3364485981308411,0.00034650628037383163,0.30179797009345793,"{'4B': 98, '20B': 9}"
post_scout,true,150,0.2897196261682243,0.0002856475233644859,0.2468724976635514,"{'4B': 105, '20B': 2}"
post_scout,true,200,0.2897196261682243,0.0002797109719626168,0.23377743177570093,"{'4B': 106, '20B': 1}"
input_only,true,0,0.7663551401869159,0.012236446822429909,0.7663551401869159,{'120B': 107}
input_only,true,5,0.6355140186915887,0.0054368182990654195,0.6083299271962617,"{'4B': 1, '20B': 49, '120B': 57}"
input_only,true,10,0.5887850467289719,0.002522261542056074,0.5635624313084112,"{'4B': 2, '20B': 85, '30B': 4, '120B': 16}"
input_only,true,15,0.5981308411214953,0.001935186682242991,0.5691030408878505,"{'4B': 3, '20B': 94, '30B': 6, '120B': 4}"
input_only,true,20,0.5700934579439252,0.0017605524299065425,0.5348824093457943,"{'4B': 5, '20B': 93, '30B': 7, '120B': 2}"
input_only,true,25,0.5794392523364486,0.0016497145981308407,0.5381963873831775,"{'4B': 8, '20B': 88, '30B': 9, '120B': 2}"
input_only,true,30,0.5514018691588785,0.0014504380373831771,0.5078887280373832,"{'4B': 14, '20B': 84, '30B': 8, '120B': 1}"
input_only,true,35,0.5420560747663551,0.0013057639532710282,0.4963543364018691,"{'4B': 19, '20B': 81, '30B': 7}"
input_only,true,40,0.5233644859813084,0.001222650897196262,0.4744584500934579,"{'4B': 23, '20B': 78, '30B': 6}"
input_only,true,50,0.48598130841121495,0.0010734084205607478,0.4323108873831776,"{'4B': 31, '20B': 72, '30B': 4}"
input_only,true,75,0.38317757009345793,0.0005705222242990654,0.34038840327102804,"{'4B': 64, '20B': 41, '30B': 2}"
input_only,true,100,0.37383177570093457,0.00042911787850467283,0.3309199878504673,"{'4B': 77, '20B': 29, '30B': 1}"
input_only,true,150,0.3364485981308411,0.00033383921495327084,0.28637271588785046,"{'4B': 90, '20B': 17}"
input_only,true,200,0.3177570093457944,0.00028555272897196255,0.26064646355140186,"{'4B': 99, '20B': 8}"
