series,lambda,mean_reward,mean_cost,mean_utility,mean_called_routes
Always Qwen30B,15.0,0.4020979020979021,0.004328844195804197,0.3371652391608391,1.0
Always OSS-120B,15.0,0.47202797202797203,0.013906351258741255,0.2634327031468532,1.0
Best always,20.0,0.3881118881118881,0.0030106595979021,0.32789869615384615,1.0
Always scout,20.0,0.2902097902097902,0.00026183225874125865,0.284973145034965,1.0
Always OSS-20B,20.0,0.3881118881118881,0.0030106595979021,0.32789869615384615,1.0
Always Qwen30B,20.0,0.4020979020979021,0.004328844195804197,0.31552101818181816,1.0
Always OSS-120B,20.0,0.47202797202797203,0.013906351258741255,0.1939009468531469,1.0
Best always,25.0,0.3881118881118881,0.0030106595979021,0.31284539816433565,1.0
Always scout,25.0,0.2902097902097902,0.00026183225874125865,0.28366398374125873,1.0
Always OSS-20B,25.0,0.3881118881118881,0.0030106595979021,0.31284539816433565,1.0
Always Qwen30B,25.0,0.4020979020979021,0.004328844195804197,0.29387679720279714,1.0
Always OSS-120B,25.0,0.47202797202797203,0.013906351258741255,0.12436919055944068,1.0
Best always,30.0,0.3881118881118881,0.0030106595979021,0.29779210017482516,1.0
Always scout,30.0,0.2902097902097902,0.00026183225874125865,0.28235482244755244,1.0
Always OSS-20B,30.0,0.3881118881118881,0.0030106595979021,0.29779210017482516,1.0
Always Qwen30B,30.0,0.4020979020979021,0.004328844195804197,0.27223257622377617,1.0
Always OSS-120B,30.0,0.47202797202797203,0.013906351258741255,0.0548374342657344,1.0
Best always,35.0,0.3881118881118881,0.0030106595979021,0.2827388021853146,1.0
Always scout,35.0,0.2902097902097902,0.00026183225874125865,0.28104566115384616,1.0
Always OSS-20B,35.0,0.3881118881118881,0.0030106595979021,0.2827388021853146,1.0
Always Qwen30B,35.0,0.4020979020979021,0.004328844195804197,0.2505883552447552,1.0
Always OSS-120B,35.0,0.47202797202797203,0.013906351258741255,-0.014694322027971884,1.0
Best always,40.0,0.2902097902097902,0.00026183225874125865,0.2797364998601399,1.0
Always scout,40.0,0.2902097902097902,0.00026183225874125865,0.2797364998601399,1.0
Always OSS-20B,40.0,0.3881118881118881,0.0030106595979021,0.2676855041958041,1.0
Always Qwen30B,40.0,0.4020979020979021,0.004328844195804197,0.2289441342657342,1.0
Always OSS-120B,40.0,0.47202797202797203,0.013906351258741255,-0.08422607832167822,1.0
Best always,50.0,0.2902097902097902,0.00026183225874125865,0.27711817727272725,1.0
Always scout,50.0,0.2902097902097902,0.00026183225874125865,0.27711817727272725,1.0
Always OSS-20B,50.0,0.3881118881118881,0.0030106595979021,0.23757890821678312,1.0
Always Qwen30B,50.0,0.4020979020979021,0.004328844195804197,0.18565569230769224,1.0
Always OSS-120B,50.0,0.47202797202797203,0.013906351258741255,-0.22328959090909067,1.0
Best always,75.0,0.2902097902097902,0.00026183225874125865,0.2705723708041958,1.0
Always scout,75.0,0.2902097902097902,0.00026183225874125865,0.2705723708041958,1.0
Always OSS-20B,75.0,0.3881118881118881,0.0030106595979021,0.16231241826923062,1.0
Always Qwen30B,75.0,0.4020979020979021,0.004328844195804197,0.07743458741258735,1.0
Always OSS-120B,75.0,0.47202797202797203,0.013906351258741255,-0.5709483723776221,1.0
Best always,100.0,0.2902097902097902,0.00026183225874125865,0.26402656433566435,1.0
Always scout,100.0,0.2902097902097902,0.00026183225874125865,0.26402656433566435,1.0
Always OSS-20B,100.0,0.3881118881118881,0.0030106595979021,0.08704592832167812,1.0
Always Qwen30B,100.0,0.4020979020979021,0.004328844195804197,-0.030786517482517595,1.0
Always OSS-120B,100.0,0.47202797202797203,0.013906351258741255,-0.9186071538461533,1.0
Best always,150.0,0.2902097902097902,0.00026183225874125865,0.2509349513986014,1.0
Always scout,150.0,0.2902097902097902,0.00026183225874125865,0.2509349513986014,1.0
Always OSS-20B,150.0,0.3881118881118881,0.0030106595979021,-0.06348705157342688,1.0
Always Qwen30B,150.0,0.4020979020979021,0.004328844195804197,-0.24722872727272738,1.0
Always OSS-120B,150.0,0.47202797202797203,0.013906351258741255,-1.6139247167832163,1.0
Best always,200.0,0.2902097902097902,0.00026183225874125865,0.2378433384615385,1.0
Always scout,200.0,0.2902097902097902,0.00026183225874125865,0.2378433384615385,1.0
Always OSS-20B,200.0,0.3881118881118881,0.0030106595979021,-0.21402003146853188,1.0
Always Qwen30B,200.0,0.4020979020979021,0.004328844195804197,-0.46367093706293727,1.0
Always OSS-120B,200.0,0.47202797202797203,0.013906351258741255,-2.3092422797202787,1.0
Fixed-order cascade,0.0,0.4370629370629371,0.01820636022377622,0.4370629370629371,
Fixed-order cascade,5.0,0.3776223776223776,0.006477620916083915,0.34523427304195803,
Fixed-order cascade,10.0,0.38461538461538464,0.0057480656188811175,0.3271347284265735,
Fixed-order cascade,15.0,0.38461538461538464,0.0029151124300699303,0.3408886981643357,
Fixed-order cascade,20.0,0.38461538461538464,0.0029151124300699303,0.32631313601398604,
Fixed-order cascade,25.0,0.38461538461538464,0.0029151124300699303,0.3117375738636364,
Fixed-order cascade,30.0,0.38461538461538464,0.0029151124300699303,0.2971620117132867,
Fixed-order cascade,35.0,0.38461538461538464,0.0029151124300699303,0.2825864495629371,
Fixed-order cascade,40.0,0.38461538461538464,0.0029151124300699303,0.26801088741258744,
Fixed-order cascade,50.0,0.38461538461538464,0.0029151124300699303,0.2388597631118881,
Fixed-order cascade,75.0,0.2902097902097902,0.0002618322587412587,0.2705723708041958,
Fixed-order cascade,100.0,0.2902097902097902,0.0002618322587412587,0.26402656433566435,
Fixed-order cascade,150.0,0.2902097902097902,0.0002618322587412587,0.2509349513986014,
Fixed-order cascade,200.0,0.2902097902097902,0.0002618322587412587,0.23784333846153846,
