series,lambda,mean_true_cost,mean_true_reward,mean_true_utility,choice_counts_by_route
Post-scout router,75.0,0.011438386374125871,0.4195804195804196,-0.4382985584790208,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 194, ""solver:openai/gpt-oss-20b"": 8}"
Post-scout router,100.0,0.011438386374125871,0.4195804195804196,-0.7242582178321675,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 194, ""solver:openai/gpt-oss-20b"": 8}"
Post-scout router,150.0,0.01127994349300699,0.4125874125874126,-1.279404111363636,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 188, ""solver:openai/gpt-oss-20b"": 14}"
Post-scout router,200.0,0.011040907720279719,0.40559440559440557,-1.802587138461538,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 182, ""solver:openai/gpt-oss-20b"": 20}"
Input-only router,0.0,0.013906351258741255,0.47202797202797203,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,5.0,0.013906351258741255,0.47202797202797203,0.40249621573426575,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,10.0,0.013906351258741255,0.47202797202797203,0.33296445944055947,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,15.0,0.013906351258741255,0.47202797202797203,0.2634327031468532,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,20.0,0.013906351258741255,0.47202797202797203,0.1939009468531469,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,25.0,0.013906351258741255,0.47202797202797203,0.12436919055944068,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,30.0,0.013906351258741255,0.47202797202797203,0.0548374342657344,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,35.0,0.013906351258741255,0.47202797202797203,-0.014694322027971884,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,40.0,0.013906351258741255,0.47202797202797203,-0.08422607832167822,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,50.0,0.013906351258741255,0.47202797202797203,-0.22328959090909067,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,75.0,0.013906351258741255,0.47202797202797203,-0.5709483723776221,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,100.0,0.013906351258741255,0.47202797202797203,-0.9186071538461533,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,150.0,0.013906351258741255,0.47202797202797203,-1.6139247167832163,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Input-only router,200.0,0.013906351258741255,0.47202797202797203,-2.3092422797202787,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Cascade,0.0,0.01820636022377622,0.4370629370629371,0.4370629370629371,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 15, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 49, ""solver:openai/gpt-oss-120b"": 97, ""solver:openai/gpt-oss-20b"": 125}"
Cascade,5.0,0.006477620916083915,0.3776223776223776,0.34523427304195803,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 28, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 194, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 64}"
Cascade,10.0,0.0057480656188811175,0.38461538461538464,0.3271347284265735,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 31, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 158, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 97}"
Cascade,15.0,0.0029151124300699303,0.38461538461538464,0.3408886981643357,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
Cascade,20.0,0.0029151124300699303,0.38461538461538464,0.32631313601398604,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
Cascade,25.0,0.0029151124300699303,0.38461538461538464,0.3117375738636364,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
Cascade,30.0,0.0029151124300699303,0.38461538461538464,0.2971620117132867,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
Cascade,35.0,0.0029151124300699303,0.38461538461538464,0.2825864495629371,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
Cascade,40.0,0.0029151124300699303,0.38461538461538464,0.26801088741258744,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
Cascade,50.0,0.0029151124300699303,0.38461538461538464,0.2388597631118881,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}"
Cascade,75.0,0.0002618322587412587,0.2902097902097902,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Cascade,100.0,0.0002618322587412587,0.2902097902097902,0.26402656433566435,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Cascade,150.0,0.0002618322587412587,0.2902097902097902,0.2509349513986014,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Cascade,200.0,0.0002618322587412587,0.2902097902097902,0.23784333846153846,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Always 4B scout,fixed,0.00026183225874125865,0.2902097902097902,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Always OSS-20B,fixed,0.0030106595979021,0.3881118881118881,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
Always Qwen30B,fixed,0.004328844195804197,0.4020979020979021,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Always OSS-120B,fixed,0.013906351258741255,0.47202797202797203,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
