lambda,route_idx,route_label,selected_count,selected_frac,global_route_reward_mean,global_delta_vs_scout_mean,global_route_cost_mean,selected_route_reward_mean,selected_delta_vs_scout_mean,selected_route_cost_mean,selected_reward_lift_vs_global_route_mean,selected_delta_lift_vs_global_route_mean
35.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
35.0,3,solver:openai/gpt-oss-120b,23,0.08041958041958042,0.47202797202797203,0.18181818181818182,0.013906351258741255,0.7391304347826086,0.21739130434782608,0.008988684782608695,0.2671024627546366,0.03557312252964426
40.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,147,0.513986013986014,0.2902097902097902,0.0,0.00026183225874125865,0.19727891156462585,0.0,0.0002494529931972788,-0.09293087864516436,0.0
40.0,1,solver:openai/gpt-oss-20b,126,0.4405594405594406,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.48412698412698413,0.1349206349206349,0.0026105363809523813,0.096015096015096,0.03701853701853701
40.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
40.0,3,solver:openai/gpt-oss-120b,13,0.045454545454545456,0.47202797202797203,0.18181818181818182,0.013906351258741255,0.9230769230769231,0.15384615384615385,0.007021317692307692,0.4510489510489511,-0.02797202797202797
45.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,149,0.5209790209790209,0.2902097902097902,0.0,0.00026183225874125865,0.19463087248322147,0.0,0.0002588702416107382,-0.09557891772656874,0.0
45.0,1,solver:openai/gpt-oss-20b,131,0.458041958041958,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.5114503816793893,0.13740458015267176,0.0024898656870229008,0.12333849356750115,0.03950248225057386
45.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
45.0,3,solver:openai/gpt-oss-120b,6,0.02097902097902098,0.47202797202797203,0.18181818181818182,0.013906351258741255,1.0,0.16666666666666666,0.00578018,0.5279720279720279,-0.015151515151515166
50.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,153,0.534965034965035,0.2902097902097902,0.0,0.00026183225874125865,0.19607843137254902,0.0,0.0002595702352941176,-0.09413135883724119,0.0
50.0,1,solver:openai/gpt-oss-20b,129,0.45104895104895104,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.5271317829457365,0.14728682170542637,0.0023364579302325578,0.13901989483384836,0.049384723803328465
50.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
50.0,3,solver:openai/gpt-oss-120b,4,0.013986013986013986,0.47202797202797203,0.18181818181818182,0.013906351258741255,1.0,0.0,0.005603955,0.5279720279720279,-0.18181818181818182
55.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,157,0.548951048951049,0.2902097902097902,0.0,0.00026183225874125865,0.19745222929936307,0.0,0.00025898267515923564,-0.09275756091042714,0.0
55.0,1,solver:openai/gpt-oss-20b,126,0.4405594405594406,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.5238095238095238,0.1349206349206349,0.0023428289761904765,0.1356976356976357,0.03701853701853701
55.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
55.0,3,solver:openai/gpt-oss-120b,3,0.01048951048951049,0.47202797202797203,0.18181818181818182,0.013906351258741255,1.0,0.0,0.00610666,0.5279720279720279,-0.18181818181818182
60.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,157,0.548951048951049,0.2902097902097902,0.0,0.00026183225874125865,0.19745222929936307,0.0,0.00025898267515923564,-0.09275756091042714,0.0
60.0,1,solver:openai/gpt-oss-20b,127,0.44405594405594406,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.5196850393700787,0.12598425196850394,0.002336287299212599,0.13157315125819058,0.02808215406640603
60.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
60.0,3,solver:openai/gpt-oss-120b,2,0.006993006993006993,0.47202797202797203,0.18181818181818182,0.013906351258741255,1.0,0.0,0.0042739200000000005,0.5279720279720279,-0.18181818181818182
75.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,163,0.5699300699300699,0.2902097902097902,0.0,0.00026183225874125865,0.2085889570552147,0.0,0.0002583609202453987,-0.0816208331545755,0.0
75.0,1,solver:openai/gpt-oss-20b,123,0.43006993006993005,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.5284552845528455,0.13008130081300814,0.002347219073170732,0.1403433964409574,0.03217920291091024
75.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
75.0,3,solver:openai/gpt-oss-120b,0,0.0,0.47202797202797203,0.18181818181818182,0.013906351258741255,,,,,
100.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,172,0.6013986013986014,0.2902097902097902,0.0,0.00026183225874125865,0.21511627906976744,0.0,0.0002736505930232558,-0.07509351114002277,0.0
100.0,1,solver:openai/gpt-oss-20b,114,0.3986013986013986,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.543859649122807,0.14035087719298245,0.002359758842105263,0.15574776101091892,0.042448779290884545
100.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
100.0,3,solver:openai/gpt-oss-120b,0,0.0,0.47202797202797203,0.18181818181818182,0.013906351258741255,,,,,
150.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,198,0.6923076923076923,0.2902097902097902,0.0,0.00026183225874125865,0.21717171717171718,0.0,0.00028182179797979793,-0.07303807303807303,0.0
150.0,1,solver:openai/gpt-oss-20b,88,0.3076923076923077,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.5909090909090909,0.13636363636363635,0.002159676068181818,0.2027972027972028,0.03846153846153845
150.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
150.0,3,solver:openai/gpt-oss-120b,0,0.0,0.47202797202797203,0.18181818181818182,0.013906351258741255,,,,,
200.0,0,scout:Qwen/Qwen3-4B-Instruct-2507,212,0.7412587412587412,0.2902097902097902,0.0,0.00026183225874125865,0.22169811320754718,0.0,0.00028621804716981127,-0.06851167700224303,0.0
200.0,1,solver:openai/gpt-oss-20b,74,0.25874125874125875,0.3881118881118881,0.0979020979020979,0.0030106595979021,0.5945945945945946,0.10810810810810811,0.0021555851756756756,0.2064827064827065,0.01020601020601021
200.0,2,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,0.0,0.4020979020979021,0.11188811188811189,0.004328844195804197,,,,,
200.0,3,solver:openai/gpt-oss-120b,0,0.0,0.47202797202797203,0.18181818181818182,0.013906351258741255,,,,,
