budget_pct_of_120b_cost,cap_cost,method,best_reward,best_cost,best_cost_pct_of_120b,reward_pct_of_120b_reward,gain_vs_always_at_cap,gain_vs_direct_random_at_cap,gain_vs_cascade_at_cap,chosen_point,lambda
10.000,0.00139063512587,Cascade,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.040203387,0.000000000,lambda=75,75
10.000,0.00139063512587,Best Q policy (pred cost),0.356643357,0.00127109489161,9.140,75.556,0.066433566,0.026230180,0.066433566,Q direct (pred cost): lambda=50,50
10.000,0.00139063512587,Direct random,0.330413177,0.00139063512587,10.000,69.999,0.040203387,0.000000000,0.040203387,0.5894*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4106*solver:openai/gpt-oss-20b,
12.000,0.00166876215105,Always direct,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.050109145,0.000000000,scout:Qwen/Qwen3-4B-Instruct-2507,0
12.000,0.00166876215105,Q chain flexible (pred cost),0.363636364,0.00160574855245,11.547,77.037,0.073426573,0.023317428,0.073426573,state_policy::flexible_bare_max4,75
12.000,0.00166876215105,Q chain forced-scout (pred cost),0.339160839,0.00129774586364,9.332,71.852,0.048951049,-0.001158096,0.048951049,state_policy::forced_scout_0_max4,75
12.000,0.00166876215105,Q direct (fixed train cost),0.356643357,0.00152790657692,10.987,75.556,0.066433566,0.016324421,0.066433566,lambda=35,35
12.000,0.00166876215105,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,0.087412587,0.037303442,0.087412587,lambda=50,50
12.000,0.00166876215105,Q direct (pred cost),0.356643357,0.00127109489161,9.140,75.556,0.066433566,0.016324421,0.066433566,lambda=50,50
12.000,0.00166876215105,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.269230769,0.219121624,0.269230769,lambda=5,5
12.000,0.00166876215105,Cascade,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.050109145,0.000000000,lambda=75,75
12.000,0.00166876215105,Best Q policy (pred cost),0.363636364,0.00160574855245,11.547,77.037,0.073426573,0.023317428,0.073426573,Q chain flexible (pred cost): state_policy::flexible_bare_max4,75
12.000,0.00166876215105,Direct random,0.340318935,0.00166876215105,12.000,72.097,0.050109145,0.000000000,0.050109145,0.4882*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5118*solver:openai/gpt-oss-20b,
15.000,0.00208595268881,Always direct,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.064967783,0.000000000,scout:Qwen/Qwen3-4B-Instruct-2507,0
15.000,0.00208595268881,Q chain flexible (pred cost),0.370629371,0.00197302292308,14.188,78.519,0.080419580,0.015451798,0.080419580,state_policy::flexible_bare_max4,50
15.000,0.00208595268881,Q chain forced-scout (pred cost),0.349650350,0.00187553767133,13.487,74.074,0.059440559,-0.005527223,0.059440559,state_policy::forced_scout_0_max4,50
15.000,0.00208595268881,Q direct (fixed train cost),0.356643357,0.00152790657692,10.987,75.556,0.066433566,0.001465784,0.066433566,lambda=35,35
15.000,0.00208595268881,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,0.087412587,0.022444805,0.087412587,lambda=50,50
15.000,0.00208595268881,Q direct (pred cost),0.363636364,0.00203277186713,14.618,77.037,0.073426573,0.008458791,0.073426573,lambda=35,35
15.000,0.00208595268881,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.269230769,0.204262987,0.269230769,lambda=5,5
15.000,0.00208595268881,Cascade,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.064967783,0.000000000,lambda=75,75
15.000,0.00208595268881,Best Q policy (pred cost),0.370629371,0.00197302292308,14.188,78.519,0.080419580,0.015451798,0.080419580,Q chain flexible (pred cost): state_policy::flexible_bare_max4,50
15.000,0.00208595268881,Direct random,0.355177573,0.00208595268881,15.000,75.245,0.064967783,0.000000000,0.064967783,0.3364*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6636*solver:openai/gpt-oss-20b,
18.000,0.00250314322657,Always direct,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.079826420,0.000000000,scout:Qwen/Qwen3-4B-Instruct-2507,0
18.000,0.00250314322657,Q chain flexible (pred cost),0.370629371,0.00197302292308,14.188,78.519,0.080419580,0.000593160,0.080419580,state_policy::flexible_bare_max4,50
18.000,0.00250314322657,Q chain forced-scout (pred cost),0.349650350,0.00187553767133,13.487,74.074,0.059440559,-0.020385861,0.059440559,state_policy::forced_scout_0_max4,50
18.000,0.00250314322657,Q direct (fixed train cost),0.356643357,0.00152790657692,10.987,75.556,0.066433566,-0.013392854,0.066433566,lambda=35,35
18.000,0.00250314322657,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,0.087412587,0.007586167,0.087412587,lambda=50,50
18.000,0.00250314322657,Q direct (pred cost),0.363636364,0.00203277186713,14.618,77.037,0.073426573,-0.006399847,0.073426573,lambda=35,35
18.000,0.00250314322657,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.269230769,0.189404349,0.269230769,lambda=5,5
18.000,0.00250314322657,Cascade,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.079826420,0.000000000,lambda=75,75
18.000,0.00250314322657,Best Q policy (pred cost),0.370629371,0.00197302292308,14.188,78.519,0.080419580,0.000593160,0.080419580,Q chain flexible (pred cost): state_policy::flexible_bare_max4,50
18.000,0.00250314322657,Direct random,0.370036210,0.00250314322657,18.000,78.393,0.079826420,0.000000000,0.079826420,0.1846*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8154*solver:openai/gpt-oss-20b,
20.000,0.00278127025175,Always direct,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.089484534,0.000000000,scout:Qwen/Qwen3-4B-Instruct-2507,0
20.000,0.00278127025175,Q chain flexible (pred cost),0.370629371,0.00197302292308,14.188,78.519,0.080419580,-0.009064954,0.080419580,state_policy::flexible_bare_max4,50
20.000,0.00278127025175,Q chain forced-scout (pred cost),0.353146853,0.00271322121678,19.511,74.815,0.062937063,-0.026547471,0.062937063,state_policy::forced_scout_0_max4,35
20.000,0.00278127025175,Q direct (fixed train cost),0.356643357,0.00152790657692,10.987,75.556,0.066433566,-0.023050968,0.066433566,lambda=35,35
20.000,0.00278127025175,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,0.087412587,-0.002071947,0.087412587,lambda=50,50
20.000,0.00278127025175,Q direct (pred cost),0.363636364,0.00203277186713,14.618,77.037,0.073426573,-0.016057961,0.073426573,lambda=35,35
20.000,0.00278127025175,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.269230769,0.179746235,0.269230769,lambda=5,5
20.000,0.00278127025175,Cascade,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.089484534,0.000000000,lambda=75,75
20.000,0.00278127025175,Best Q policy (pred cost),0.370629371,0.00197302292308,14.188,78.519,0.080419580,-0.009064954,0.080419580,Q chain flexible (pred cost): state_policy::flexible_bare_max4,50
20.000,0.00278127025175,Direct random,0.379694325,0.00277431707612,19.950,80.439,0.089484534,0.000000000,0.089484534,0.0860*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9140*solver:openai/gpt-oss-20b,
22.000,0.00305939727692,Always direct,0.388111888,0.0030106595979,21.650,82.222,0.000000000,-0.000517110,0.013986014,solver:openai/gpt-oss-20b,0
22.000,0.00305939727692,Q chain flexible (pred cost),0.377622378,0.00301653346853,21.692,80.000,-0.010489510,-0.011006620,0.003496503,state_policy::flexible_bare_max4,35
22.000,0.00305939727692,Q chain forced-scout (pred cost),0.353146853,0.00271322121678,19.511,74.815,-0.034965035,-0.035482145,-0.020979021,state_policy::forced_scout_0_max4,35
22.000,0.00305939727692,Q direct (fixed train cost),0.360139860,0.0029269143951,21.047,76.296,-0.027972028,-0.028489138,-0.013986014,lambda=25,25
22.000,0.00305939727692,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,-0.010489510,-0.011006620,0.003496503,lambda=50,50
22.000,0.00305939727692,Q direct (pred cost),0.363636364,0.00203277186713,14.618,77.037,-0.024475524,-0.024992634,-0.010489510,lambda=35,35
22.000,0.00305939727692,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.171328671,0.170811562,0.185314685,lambda=5,5
22.000,0.00305939727692,Cascade,0.374125874,0.0030352880979,21.827,79.259,-0.013986014,-0.014503124,0.000000000,lambda=15,15
22.000,0.00305939727692,Best Q policy (pred cost),0.377622378,0.00301653346853,21.692,80.000,-0.010489510,-0.011006620,0.003496503,Q chain flexible (pred cost): state_policy::flexible_bare_max4,35
22.000,0.00305939727692,Direct random,0.388628998,0.00305939727692,22.000,82.332,0.000517110,0.000000000,0.014503124,0.9630*solver:openai/gpt-oss-20b + 0.0370*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,
25.000,0.00347658781469,Always direct,0.388111888,0.0030106595979,21.650,82.222,0.000000000,-0.004943525,0.013986014,solver:openai/gpt-oss-20b,0
25.000,0.00347658781469,Q chain flexible (pred cost),0.377622378,0.00301653346853,21.692,80.000,-0.010489510,-0.015433036,0.003496503,state_policy::flexible_bare_max4,35
25.000,0.00347658781469,Q chain forced-scout (pred cost),0.353146853,0.00271322121678,19.511,74.815,-0.034965035,-0.039908560,-0.020979021,state_policy::forced_scout_0_max4,35
25.000,0.00347658781469,Q direct (fixed train cost),0.360139860,0.0029269143951,21.047,76.296,-0.027972028,-0.032915553,-0.013986014,lambda=25,25
25.000,0.00347658781469,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,-0.010489510,-0.015433036,0.003496503,lambda=50,50
25.000,0.00347658781469,Q direct (pred cost),0.363636364,0.00203277186713,14.618,77.037,-0.024475524,-0.029419050,-0.010489510,lambda=35,35
25.000,0.00347658781469,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.171328671,0.166385146,0.185314685,lambda=5,5
25.000,0.00347658781469,Cascade,0.374125874,0.0030352880979,21.827,79.259,-0.013986014,-0.018929539,0.000000000,lambda=15,15
25.000,0.00347658781469,Best Q policy (pred cost),0.377622378,0.00301653346853,21.692,80.000,-0.010489510,-0.015433036,0.003496503,Q chain flexible (pred cost): state_policy::flexible_bare_max4,35
25.000,0.00347658781469,Direct random,0.393055413,0.00347658781469,25.000,83.270,0.004943525,0.000000000,0.018929539,0.6465*solver:openai/gpt-oss-20b + 0.3535*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,
30.000,0.00417190537762,Always direct,0.388111888,0.0030106595979,21.650,82.222,0.000000000,-0.012320884,0.013986014,solver:openai/gpt-oss-20b,0
30.000,0.00417190537762,Q chain flexible (pred cost),0.384615385,0.00375107402448,26.974,81.481,-0.003496503,-0.015817388,0.010489510,state_policy::flexible_bare_max4,30
30.000,0.00417190537762,Q chain forced-scout (pred cost),0.353146853,0.00271322121678,19.511,74.815,-0.034965035,-0.047285919,-0.020979021,state_policy::forced_scout_0_max4,35
30.000,0.00417190537762,Q direct (fixed train cost),0.363636364,0.00404010724126,29.052,77.037,-0.024475524,-0.036796409,-0.010489510,lambda=15,15
30.000,0.00417190537762,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,-0.010489510,-0.022810395,0.003496503,lambda=50,50
30.000,0.00417190537762,Q direct (pred cost),0.363636364,0.00203277186713,14.618,77.037,-0.024475524,-0.036796409,-0.010489510,lambda=35,35
30.000,0.00417190537762,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.171328671,0.159007787,0.185314685,lambda=5,5
30.000,0.00417190537762,Cascade,0.374125874,0.0030352880979,21.827,79.259,-0.013986014,-0.026306898,0.000000000,lambda=15,15
30.000,0.00417190537762,Best Q policy (pred cost),0.384615385,0.00375107402448,26.974,81.481,-0.003496503,-0.015817388,0.010489510,Q chain flexible (pred cost): state_policy::flexible_bare_max4,30
30.000,0.00417190537762,Direct random,0.400432772,0.00417190537762,30.000,84.832,0.012320884,0.000000000,0.026306898,0.1191*solver:openai/gpt-oss-20b + 0.8809*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,
32.000,0.0044500324028,Always direct,0.402097902,0.0043288441958,31.129,85.185,0.000000000,-0.000884854,0.027972028,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0
32.000,0.0044500324028,Q chain flexible (pred cost),0.384615385,0.00375107402448,26.974,81.481,-0.017482517,-0.018367372,0.010489510,state_policy::flexible_bare_max4,30
32.000,0.0044500324028,Q chain forced-scout (pred cost),0.367132867,0.00417608248951,30.030,77.778,-0.034965035,-0.035849889,-0.006993007,state_policy::forced_scout_0_max4,25
32.000,0.0044500324028,Q direct (fixed train cost),0.363636364,0.00404010724126,29.052,77.037,-0.038461538,-0.039346393,-0.010489510,lambda=15,15
32.000,0.0044500324028,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,-0.024475524,-0.025360379,0.003496503,lambda=50,50
32.000,0.0044500324028,Q direct (pred cost),0.363636364,0.00203277186713,14.618,77.037,-0.038461538,-0.039346393,-0.010489510,lambda=35,35
32.000,0.0044500324028,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.157342657,0.156457803,0.185314685,lambda=5,5
32.000,0.0044500324028,Cascade,0.374125874,0.0030352880979,21.827,79.259,-0.027972028,-0.028856882,0.000000000,lambda=15,15
32.000,0.0044500324028,Best Q policy (pred cost),0.384615385,0.00375107402448,26.974,81.481,-0.017482517,-0.018367372,0.010489510,Q chain flexible (pred cost): state_policy::flexible_bare_max4,30
32.000,0.0044500324028,Direct random,0.402982757,0.0044500324028,32.000,85.373,0.000884854,0.000000000,0.028856882,0.9873*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct + 0.0127*solver:openai/gpt-oss-120b,
35.000,0.00486722294056,Always direct,0.402097902,0.0043288441958,31.129,85.185,0.000000000,-0.003842122,0.027972028,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0
35.000,0.00486722294056,Q chain flexible (pred cost),0.384615385,0.00375107402448,26.974,81.481,-0.017482517,-0.021324639,0.010489510,state_policy::flexible_bare_max4,30
35.000,0.00486722294056,Q chain forced-scout (pred cost),0.367132867,0.00417608248951,30.030,77.778,-0.034965035,-0.038807157,-0.006993007,state_policy::forced_scout_0_max4,25
35.000,0.00486722294056,Q direct (fixed train cost),0.374125874,0.00457563794406,32.903,79.259,-0.027972028,-0.031814150,0.000000000,lambda=10,10
35.000,0.00486722294056,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,-0.024475524,-0.028317646,0.003496503,lambda=50,50
35.000,0.00486722294056,Q direct (pred cost),0.370629371,0.00484835774476,34.864,78.519,-0.031468531,-0.035310653,-0.003496503,lambda=10,10
35.000,0.00486722294056,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.157342657,0.153500535,0.185314685,lambda=5,5
35.000,0.00486722294056,Cascade,0.374125874,0.0030352880979,21.827,79.259,-0.027972028,-0.031814150,0.000000000,lambda=15,15
35.000,0.00486722294056,Best Q policy (pred cost),0.384615385,0.00375107402448,26.974,81.481,-0.017482517,-0.021324639,0.010489510,Q chain flexible (pred cost): state_policy::flexible_bare_max4,30
35.000,0.00486722294056,Direct random,0.405940024,0.00485505488321,34.913,85.999,0.003842122,0.000000000,0.031814150,0.9451*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct + 0.0549*solver:openai/gpt-oss-120b,
40.000,0.0055625405035,Always direct,0.402097902,0.0043288441958,31.129,85.185,0.000000000,-0.009007821,0.027972028,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0
40.000,0.0055625405035,Q chain flexible (pred cost),0.391608392,0.00541362621329,38.929,82.963,-0.010489510,-0.019497331,0.017482517,state_policy::flexible_bare_max4,20
40.000,0.0055625405035,Q chain forced-scout (pred cost),0.367132867,0.00417608248951,30.030,77.778,-0.034965035,-0.043972856,-0.006993007,state_policy::forced_scout_0_max4,25
40.000,0.0055625405035,Q direct (fixed train cost),0.374125874,0.00457563794406,32.903,79.259,-0.027972028,-0.036979849,0.000000000,lambda=10,10
40.000,0.0055625405035,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,-0.024475524,-0.033483345,0.003496503,lambda=50,50
40.000,0.0055625405035,Q direct (pred cost),0.370629371,0.00484835774476,34.864,78.519,-0.031468531,-0.040476352,-0.003496503,lambda=10,10
40.000,0.0055625405035,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.157342657,0.148334836,0.185314685,lambda=5,5
40.000,0.0055625405035,Cascade,0.374125874,0.0030352880979,21.827,79.259,-0.027972028,-0.036979849,0.000000000,lambda=15,15
40.000,0.0055625405035,Best Q policy (pred cost),0.391608392,0.00541362621329,38.929,82.963,-0.010489510,-0.019497331,0.017482517,Q chain flexible (pred cost): state_policy::flexible_bare_max4,20
40.000,0.0055625405035,Direct random,0.411105723,0.0055625405035,40.000,87.094,0.009007821,0.000000000,0.036979849,0.8712*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct + 0.1288*solver:openai/gpt-oss-120b,
50.000,0.00695317562937,Always direct,0.402097902,0.0043288441958,31.129,85.185,0.000000000,-0.019161529,0.024475524,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0
50.000,0.00695317562937,Q chain flexible (pred cost),0.395104895,0.00664872312587,47.811,83.704,-0.006993007,-0.026154536,0.017482517,state_policy::flexible_bare_max4,15
50.000,0.00695317562937,Q chain forced-scout (pred cost),0.370629371,0.00610564283217,43.905,78.519,-0.031468531,-0.050630061,-0.006993007,state_policy::forced_scout_0_max4,15
50.000,0.00695317562937,Q direct (fixed train cost),0.384615385,0.00566420686014,40.731,81.481,-0.017482517,-0.036644047,0.006993007,lambda=5,5
50.000,0.00695317562937,Q direct (oracle cost diagnostic),0.391608392,0.00565824442657,40.688,82.963,-0.010489510,-0.029651040,0.013986014,lambda=5,5
50.000,0.00695317562937,Q direct (pred cost),0.391608392,0.00604859717483,43.495,82.963,-0.010489510,-0.029651040,0.013986014,lambda=5,5
50.000,0.00695317562937,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.157342657,0.138181128,0.181818182,lambda=5,5
50.000,0.00695317562937,Cascade,0.377622378,0.00647762091608,46.580,80.000,-0.024475524,-0.043637054,0.000000000,lambda=5,5
50.000,0.00695317562937,Best Q policy (pred cost),0.395104895,0.00664872312587,47.811,83.704,-0.006993007,-0.026154536,0.017482517,Q chain flexible (pred cost): state_policy::flexible_bare_max4,15
50.000,0.00695317562937,Direct random,0.421259431,0.00695317562937,50.000,89.245,0.019161529,0.000000000,0.043637054,0.7260*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct + 0.2740*solver:openai/gpt-oss-120b,
75.000,0.0104297634441,Always direct,0.402097902,0.0043288441958,31.129,85.185,0.000000000,-0.044545800,0.024475524,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0
75.000,0.0104297634441,Q chain flexible (pred cost),0.412587413,0.00890882177622,64.063,87.407,0.010489510,-0.034056289,0.034965035,state_policy::flexible_bare_max4,5
75.000,0.0104297634441,Q chain forced-scout (pred cost),0.430069930,0.0102412348287,73.644,91.111,0.027972028,-0.016573772,0.052447552,state_policy::forced_scout_0_max4,0
75.000,0.0104297634441,Q direct (fixed train cost),0.405594406,0.00913721199301,65.705,85.926,0.003496503,-0.041049296,0.027972028,lambda=0,0
75.000,0.0104297634441,Q direct (oracle cost diagnostic),0.405594406,0.00913721199301,65.705,85.926,0.003496503,-0.041049296,0.027972028,lambda=0,0
75.000,0.0104297634441,Q direct (pred cost),0.405594406,0.00913721199301,65.705,85.926,0.003496503,-0.041049296,0.027972028,lambda=0,0
75.000,0.0104297634441,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.157342657,0.112796858,0.181818182,lambda=5,5
75.000,0.0104297634441,Cascade,0.377622378,0.00647762091608,46.580,80.000,-0.024475524,-0.069021324,0.000000000,lambda=5,5
75.000,0.0104297634441,Best Q policy (pred cost),0.430069930,0.0102412348287,73.644,91.111,0.027972028,-0.016573772,0.052447552,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,0
75.000,0.0104297634441,Direct random,0.446643702,0.0104297634441,75.000,94.622,0.044545800,0.000000000,0.069021324,0.3630*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct + 0.6370*solver:openai/gpt-oss-120b,
100.000,0.0139063512587,Always direct,0.472027972,0.0139063512587,100.000,100.000,0.000000000,0.000000000,0.094405594,solver:openai/gpt-oss-120b,0
100.000,0.0139063512587,Q chain flexible (pred cost),0.433566434,0.0116671341573,83.898,91.852,-0.038461538,-0.038461538,0.055944056,state_policy::flexible_bare_max4,0
100.000,0.0139063512587,Q chain forced-scout (pred cost),0.430069930,0.0102412348287,73.644,91.111,-0.041958042,-0.041958042,0.052447552,state_policy::forced_scout_0_max4,0
100.000,0.0139063512587,Q direct (fixed train cost),0.405594406,0.00913721199301,65.705,85.926,-0.066433566,-0.066433566,0.027972028,lambda=0,0
100.000,0.0139063512587,Q direct (oracle cost diagnostic),0.405594406,0.00913721199301,65.705,85.926,-0.066433566,-0.066433566,0.027972028,lambda=0,0
100.000,0.0139063512587,Q direct (pred cost),0.405594406,0.00913721199301,65.705,85.926,-0.066433566,-0.066433566,0.027972028,lambda=0,0
100.000,0.0139063512587,Oracle route upper bound,0.559440559,0.0014218673042,10.225,118.519,0.087412587,0.087412587,0.181818182,lambda=5,5
100.000,0.0139063512587,Cascade,0.377622378,0.00647762091608,46.580,80.000,-0.094405594,-0.094405594,0.000000000,lambda=5,5
100.000,0.0139063512587,Best Q policy (pred cost),0.433566434,0.0116671341573,83.898,91.852,-0.038461538,-0.038461538,0.055944056,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0
100.000,0.0139063512587,Direct random,0.472027972,0.0139063512587,100.000,100.000,0.000000000,0.000000000,0.094405594,solver:openai/gpt-oss-120b,
