method,reward,cost,cost_pct_of_120b,reward_pct_of_120b,label,lambda,source
Best Q policy (pred cost),0.363636364,0.0041403090979,29.773,77.037,Q direct (pred cost): lambda=15,15,q_diag_rows
Best Q policy (pred cost),0.367132867,0.00417608248951,30.030,77.778,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,25,q_predicted_rows
Best Q policy (pred cost),0.381118881,0.00451885258042,32.495,80.741,Q chain flexible (pred cost): state_policy::flexible_bare_max4,25,q_predicted_rows
Best Q policy (pred cost),0.370629371,0.00484835774476,34.864,78.519,Q direct (pred cost): lambda=10,10,q_diag_rows
Best Q policy (pred cost),0.367132867,0.00486060418531,34.952,77.778,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,20,q_predicted_rows
Best Q policy (pred cost),0.391608392,0.00541362621329,38.929,82.963,Q chain flexible (pred cost): state_policy::flexible_bare_max4,20,q_predicted_rows
Best Q policy (pred cost),0.391608392,0.00604859717483,43.495,82.963,Q direct (pred cost): lambda=5,5,q_diag_rows
Best Q policy (pred cost),0.370629371,0.00610564283217,43.905,78.519,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,15,q_predicted_rows
Best Q policy (pred cost),0.395104895,0.00664872312587,47.811,83.704,Q chain flexible (pred cost): state_policy::flexible_bare_max4,15,q_predicted_rows
Best Q policy (pred cost),0.381118881,0.00732627399301,52.683,80.741,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,10,q_predicted_rows
Best Q policy (pred cost),0.402097902,0.00763130838811,54.876,85.185,Q chain flexible (pred cost): state_policy::flexible_bare_max4,10,q_predicted_rows
Best Q policy (pred cost),0.402097902,0.00787656328671,56.640,85.185,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,5,q_predicted_rows
Best Q policy (pred cost),0.412587413,0.00890882177622,64.063,87.407,Q chain flexible (pred cost): state_policy::flexible_bare_max4,5,q_predicted_rows
Best Q policy (pred cost),0.405594406,0.00913721199301,65.705,85.926,Q direct (pred cost): lambda=0,0,q_diag_rows
Best Q policy (pred cost),0.430069930,0.0102412348287,73.644,91.111,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,0,q_predicted_rows
Best Q policy (pred cost),0.433566434,0.0116671341573,83.898,91.852,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0,q_predicted_rows
Cascade,0.290209790,0.000261832258741,1.883,61.481,lambda=75,75,cascade_rows
Cascade,0.290209790,0.000261832258741,1.883,61.481,lambda=100,100,cascade_rows
Cascade,0.290209790,0.000261832258741,1.883,61.481,lambda=150,150,cascade_rows
Cascade,0.290209790,0.000261832258741,1.883,61.481,lambda=200,200,cascade_rows
Cascade,0.374125874,0.0030352880979,21.827,79.259,lambda=15,15,cascade_rows
Cascade,0.374125874,0.0030352880979,21.827,79.259,lambda=20,20,cascade_rows
Cascade,0.374125874,0.0030352880979,21.827,79.259,lambda=25,25,cascade_rows
Cascade,0.374125874,0.0030352880979,21.827,79.259,lambda=30,30,cascade_rows
Cascade,0.374125874,0.0030352880979,21.827,79.259,lambda=35,35,cascade_rows
Cascade,0.374125874,0.0030352880979,21.827,79.259,lambda=40,40,cascade_rows
Cascade,0.374125874,0.0030352880979,21.827,79.259,lambda=50,50,cascade_rows
Cascade,0.377622378,0.00647762091608,46.580,80.000,lambda=5,5,cascade_rows
Cascade,0.377622378,0.00647762091608,46.580,80.000,lambda=10,10,cascade_rows
Cascade,0.444055944,0.0184549614371,132.709,94.074,lambda=0,0,cascade_rows
Direct random,0.290418678,0.000267697261731,1.925,61.526,0.9979*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0021*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.290790144,0.000278127025175,2.000,61.604,0.9941*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0059*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.290852055,0.000279865319082,2.013,61.618,0.9934*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0066*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.291285432,0.000292033376434,2.100,61.709,0.9890*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0110*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.291718809,0.000304201433785,2.188,61.801,0.9846*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0154*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.292028364,0.000312892903322,2.250,61.867,0.9814*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0186*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.292152186,0.000316369491136,2.275,61.893,0.9802*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0198*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.292585562,0.000328537548488,2.362,61.985,0.9757*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0243*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.293018939,0.000340705605839,2.450,62.077,0.9713*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0287*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.293266583,0.000347658781469,2.500,62.129,0.9688*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0312*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.293452316,0.000352873663191,2.538,62.168,0.9669*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0331*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.293885693,0.000365041720542,2.625,62.260,0.9625*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0375*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.294319070,0.000377209777893,2.712,62.352,0.9580*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0420*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.294504803,0.000382424659615,2.750,62.391,0.9561*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0439*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.294752447,0.000389377835245,2.800,62.444,0.9536*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0464*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.295185824,0.000401545892596,2.887,62.536,0.9492*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0508*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.295619201,0.000413713949948,2.975,62.627,0.9447*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0553*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.295743023,0.000417190537762,3.000,62.654,0.9435*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0565*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.296052578,0.000425882007299,3.062,62.719,0.9403*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0597*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.296485955,0.00043805006465,3.150,62.811,0.9359*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0641*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.296919332,0.000450218122002,3.237,62.903,0.9315*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0685*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.296981243,0.000451956415909,3.250,62.916,0.9308*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0692*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.297352709,0.000462386179353,3.325,62.995,0.9270*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0730*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.297786086,0.000474554236705,3.413,63.087,0.9226*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0774*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.298219463,0.000486722294056,3.500,63.178,0.9182*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0818*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.298652839,0.000498890351407,3.587,63.270,0.9138*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0862*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.299086216,0.000511058408759,3.675,63.362,0.9093*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0907*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.299457682,0.000521488172203,3.750,63.441,0.9055*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0945*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.299519593,0.00052322646611,3.763,63.454,0.9049*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0951*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.299952970,0.000535394523462,3.850,63.546,0.9005*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0995*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.300386347,0.000547562580813,3.938,63.637,0.8961*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1039*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.300695902,0.00055625405035,4.000,63.703,0.8929*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1071*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.300819724,0.000559730638164,4.025,63.729,0.8916*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1084*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.301253101,0.000571898695516,4.113,63.821,0.8872*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1128*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.301686478,0.000584066752867,4.200,63.913,0.8828*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1172*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.301934122,0.000591019928497,4.250,63.965,0.8802*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1198*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.302119855,0.000596234810219,4.287,64.005,0.8783*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1217*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.302553232,0.00060840286757,4.375,64.096,0.8739*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1261*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.302986609,0.000620570924921,4.463,64.188,0.8695*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1305*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.303172342,0.000625785806643,4.500,64.228,0.8676*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1324*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.303419986,0.000632738982273,4.550,64.280,0.8651*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1349*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.303853363,0.000644907039624,4.638,64.372,0.8606*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1394*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.304286739,0.000657075096976,4.725,64.464,0.8562*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1438*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.304410561,0.00066055168479,4.750,64.490,0.8549*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1451*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.304720116,0.000669243154327,4.812,64.556,0.8518*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1482*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.305153493,0.000681411211678,4.900,64.647,0.8474*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1526*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.305586870,0.00069357926903,4.987,64.739,0.8429*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1571*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.305648781,0.000695317562937,5.000,64.752,0.8423*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1577*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.306020247,0.000705747326381,5.075,64.831,0.8385*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1615*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.306453624,0.000717915383733,5.162,64.923,0.8341*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1659*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.306887001,0.000730083441084,5.250,65.015,0.8297*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1703*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.307320378,0.000742251498435,5.338,65.106,0.8252*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1748*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.307753755,0.000754419555787,5.425,65.198,0.8208*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1792*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.308125221,0.000764849319231,5.500,65.277,0.8170*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1830*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.308187132,0.000766587613138,5.512,65.290,0.8164*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1836*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.308620509,0.00077875567049,5.600,65.382,0.8119*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1881*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.309053886,0.000790923727841,5.688,65.474,0.8075*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1925*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.309363441,0.000799615197378,5.750,65.539,0.8044*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1956*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.309487263,0.000803091785192,5.775,65.565,0.8031*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1969*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.309920640,0.000815259842544,5.862,65.657,0.7987*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2013*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.310354016,0.000827427899895,5.950,65.749,0.7942*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2058*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.310601660,0.000834381075524,6.000,65.802,0.7917*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2083*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.310787393,0.000839595957247,6.037,65.841,0.7898*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2102*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.311220770,0.000851764014598,6.125,65.933,0.7854*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2146*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.311654147,0.000863932071949,6.213,66.025,0.7810*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2190*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.311839880,0.000869146953671,6.250,66.064,0.7791*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2209*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.312087524,0.000876100129301,6.300,66.116,0.7765*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2235*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.312520901,0.000888268186652,6.387,66.208,0.7721*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2279*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.312954278,0.000900436244003,6.475,66.300,0.7677*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2323*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.313078100,0.000903912831818,6.500,66.326,0.7664*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2336*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.313387655,0.000912604301355,6.562,66.392,0.7633*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2367*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.313821032,0.000924772358706,6.650,66.484,0.7588*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2412*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.314254409,0.000936940416058,6.737,66.575,0.7544*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2456*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.314316320,0.000938678709965,6.750,66.588,0.7538*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2462*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.314687786,0.000949108473409,6.825,66.667,0.7500*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2500*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.315121163,0.00096127653076,6.912,66.759,0.7455*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2545*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.315554540,0.000973444588112,7.000,66.851,0.7411*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2589*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.315987916,0.000985612645463,7.087,66.943,0.7367*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2633*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.316421293,0.000997780702815,7.175,67.034,0.7323*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2677*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.316792759,0.00100821046626,7.250,67.113,0.7285*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2715*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.316854670,0.00100994876017,7.262,67.126,0.7278*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2722*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.317288047,0.00102211681752,7.350,67.218,0.7234*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2766*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.317721424,0.00103428487487,7.438,67.310,0.7190*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2810*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.318030979,0.00104297634441,7.500,67.375,0.7158*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2842*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.318154801,0.00104645293222,7.525,67.402,0.7146*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2854*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.318588178,0.00105862098957,7.612,67.493,0.7101*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2899*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.319021555,0.00107078904692,7.700,67.585,0.7057*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2943*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.319269199,0.00107774222255,7.750,67.638,0.7032*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2968*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.319454932,0.00108295710427,7.787,67.677,0.7013*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2987*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.319888309,0.00109512516163,7.875,67.769,0.6969*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3031*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.320321686,0.00110729321898,7.962,67.861,0.6924*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3076*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.320507419,0.0011125081007,8.000,67.900,0.6905*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3095*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.320755063,0.00111946127633,8.050,67.953,0.6880*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3120*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.321188440,0.00113162933368,8.137,68.044,0.6836*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3164*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.321621817,0.00114379739103,8.225,68.136,0.6791*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3209*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.321745639,0.00114727397885,8.250,68.162,0.6779*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3221*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.322055193,0.00115596544838,8.312,68.228,0.6747*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3253*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.322488570,0.00116813350573,8.400,68.320,0.6703*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3297*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.322921947,0.00118030156309,8.487,68.412,0.6659*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3341*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.322983858,0.00118203985699,8.500,68.425,0.6652*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3348*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.323355324,0.00119246962044,8.575,68.503,0.6614*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3386*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.323788701,0.00120463767779,8.662,68.595,0.6570*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3430*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.324222078,0.00121680573514,8.750,68.687,0.6526*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3474*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.324655455,0.00122897379249,8.837,68.779,0.6482*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3518*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.325088832,0.00124114184984,8.925,68.871,0.6437*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3563*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.325460298,0.00125157161329,9.000,68.949,0.6399*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3601*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.325522209,0.00125330990719,9.012,68.962,0.6393*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3607*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.325955586,0.00126547796455,9.100,69.054,0.6349*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3651*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.326388963,0.0012776460219,9.187,69.146,0.6305*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3695*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.326698518,0.00128633749143,9.250,69.212,0.6273*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3727*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.326822340,0.00128981407925,9.275,69.238,0.6260*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3740*solver:openai/gpt-oss-20b,,computed_convex_hull
