run,kind,cost_mode,best_same_cost_gain,best_same_cost_lambda,best_same_cost_reward,best_same_cost_cost,best_same_cost_random_reward,best_utility_gain_vs_always,best_utility_lambda,best_utility,choice_counts
Hier abstain post-scout,non_q,fixed_train_mean,0.0,0,0.0,0.0,0.0,-0.2378433384615385,200,0.0,"{""OUT"": 286, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Hier abstain post-scout,non_q,predicted_cost,0.0,0,0.0,0.0,0.0,-0.2378433384615385,200,0.0,"{""OUT"": 286, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Hier abstain input-only,non_q,fixed_train_mean,0.0,0,0.0,0.0,0.0,-0.2378433384615385,200,0.0,"{""OUT"": 286, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Hier abstain input-only,non_q,predicted_cost,0.0,0,0.0,0.0,0.0,-0.2378433384615385,200,0.0,"{""OUT"": 286, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Q base state 5ep,q,fixed_train_mean,0.010893317320400997,50,0.3146853146853147,0.00064318406993007,0.3037919973649137,0.005407933916083962,50,0.2825261111888112,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 247, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 39}"
Q base state 5ep,q,predicted_cost,0.0041097457807043325,8,0.4020979020979021,0.003941499839160838,0.39798815631719775,0.003098754853146868,8,0.37056590338461537,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 34, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 42, ""solver:openai/gpt-oss-20b"": 209}"
Q allsubsets final 5ep,q,fixed_train_mean,0.029009293677192072,100,0.34265734265734266,0.0009199154650349648,0.3136480489801506,0.020427824265734362,35,0.30316662645104897,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 198, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 88}"
Q allsubsets final 5ep,q,predicted_cost,0.034499171512540505,60,0.36013986013986016,0.0012566364999999997,0.32564068862731965,0.010384033758741251,45,0.28881137232517484,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 157, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 122}"
Q regret-weighted 5ep,q,fixed_train_mean,0.0017364757865996339,75,0.2972027972027972,0.0004094215034965035,0.29546632141619755,0.0,100,0.26402656433566435,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 267, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 19}"
Q regret-weighted 5ep,q,predicted_cost,0.015146181549389792,9,0.42657342657342656,0.005606575618881119,0.41142724502403677,0.012975941667832225,9,0.3761142460034965,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 4, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 84, ""solver:openai/gpt-oss-20b"": 197}"
Q decision aux w03 5ep,q,fixed_train_mean,0.0,7,0.2902097902097902,0.0002618322587412587,0.2902097902097902,0.0,40,0.2797364998601399,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Q decision aux w03 5ep,q,predicted_cost,0.0,15,0.2902097902097902,0.0002618322587412587,0.2902097902097902,0.0,40,0.2797364998601399,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Q decision aux w10 5ep,q,fixed_train_mean,0.0,1.5,0.2902097902097902,0.0002618322587412587,0.2902097902097902,0.0,40,0.2797364998601399,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Q decision aux w10 5ep,q,predicted_cost,0.0019879104704690342,0.75,0.2937062937062937,0.0003041894895104895,0.29171838323582466,0.0,40,0.2797364998601399,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 284, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 2, ""solver:openai/gpt-oss-20b"": 0}"
Q bare-only band w03 10ep,q,fixed_train_mean,0.0,0,0.47202797202797203,0.01390635125874126,0.47202797202797203,0.0,0,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
Q bare-only band w03 10ep,q,predicted_cost,0.009286300209881804,7,0.458041958041958,0.010719013482517484,0.4487556578320762,0.008325350447552338,7,0.3830088636643356,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 38, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 248, ""solver:openai/gpt-oss-20b"": 0}"
