fold,pred_key,calibrator_model,route,params_json,train_n,valid_n,train_positive_rate
0,post_pred_rewards,route_scalar,gemini,"[0.027696551426739605, -0.05966725358730378]",295,74,0.488135593220339
1,post_pred_rewards,route_scalar,scout,"[0.010707911363213744, -2.6792281572837653]",295,74,0.06440677966101695
1,post_pred_rewards,route_scalar,oss,"[0.0214177313106806, -0.1231803093326544]",295,74,0.4711864406779661
1,post_pred_rewards,route_scalar,gemini,"[0.026854005358069217, -0.12738301490556853]",295,74,0.4711864406779661
2,post_pred_rewards,route_scalar,scout,"[0.012869630609490472, -2.625016989213012]",295,74,0.06779661016949153
2,post_pred_rewards,route_scalar,oss,"[0.023774252486866113, -0.056202894245468794]",295,74,0.488135593220339
2,post_pred_rewards,route_scalar,gemini,"[0.026470087977425154, 0.008434513354755351]",295,74,0.5050847457627119
3,post_pred_rewards,route_scalar,scout,"[0.012860196105565254, -2.474208894933183]",295,74,0.07796610169491526
3,post_pred_rewards,route_scalar,oss,"[0.02429592286556877, 0.011275358378485048]",295,74,0.5050847457627119
3,post_pred_rewards,route_scalar,gemini,"[0.02613005463765671, 0.03553141216610377]",295,74,0.511864406779661
4,post_pred_rewards,route_scalar,scout,"[0.010727207298944738, -2.5755892411225165]",296,73,0.07094594594594594
4,post_pred_rewards,route_scalar,oss,"[0.021865870574709012, -0.07566722199212284]",296,73,0.4831081081081081
4,post_pred_rewards,route_scalar,gemini,"[0.025066615149620265, -0.051883930484964216]",296,73,0.48986486486486486
0,input_pred_rewards,route_scalar,scout,"[0.00040548999144029074, -2.794540746972648]",295,74,0.0576271186440678
0,input_pred_rewards,route_scalar,oss,"[0.008703186357306079, -0.036843825944176]",295,74,0.4915254237288136
0,input_pred_rewards,route_scalar,gemini,"[0.012351712806595326, -0.05267254748213056]",295,74,0.488135593220339
1,input_pred_rewards,route_scalar,scout,"[0.0011270719487308128, -2.6762062151852155]",295,74,0.06440677966101695
1,input_pred_rewards,route_scalar,oss,"[0.007227908084878765, -0.1178411681147168]",295,74,0.4711864406779661
1,input_pred_rewards,route_scalar,gemini,"[0.0130831406993878, -0.12092215465232108]",295,74,0.4711864406779661
2,input_pred_rewards,route_scalar,scout,"[0.0009739024458967852, -2.6212845998946053]",295,74,0.06779661016949153
2,input_pred_rewards,route_scalar,oss,"[0.00894353656403899, -0.05048601464783545]",295,74,0.488135593220339
2,input_pred_rewards,route_scalar,gemini,"[0.01361228931016459, 0.014609625596790757]",295,74,0.5050847457627119
3,input_pred_rewards,route_scalar,scout,"[0.0012312002461879197, -2.4706045467258044]",295,74,0.07796610169491526
3,input_pred_rewards,route_scalar,oss,"[0.008286313246706319, 0.017516060187109873]",295,74,0.5050847457627119
3,input_pred_rewards,route_scalar,gemini,"[0.010986867340471709, 0.04279243614627947]",295,74,0.511864406779661
4,input_pred_rewards,route_scalar,scout,"[0.0006334775131114987, -2.5724393804659758]",296,73,0.07094594594594594
4,input_pred_rewards,route_scalar,oss,"[0.007370769338424283, -0.07009645459030851]",296,73,0.4831081081081081
4,input_pred_rewards,route_scalar,gemini,"[0.011362834321315343, -0.04536400683736968]",296,73,0.48986486486486486
0,post_pred_rewards,route_vector,scout,"[0.010721472407776178, 0.00930138001529704, 0.009094050766126698, -2.804985276932604]",295,74,0.0576271186440678
0,post_pred_rewards,route_vector,oss,"[0.02157860896420944, 0.02632084028711455, 0.029679629939957954, -0.06290880572960017]",295,74,0.4915254237288136
0,post_pred_rewards,route_vector,gemini,"[0.01618866700032901, 0.023963147633593165, 0.02754400503085776, -0.07306480277120103]",295,74,0.488135593220339
1,post_pred_rewards,route_vector,scout,"[0.010693775081357628, 0.008262689427136122, 0.007717384236387209, -2.685690113154356]",295,74,0.06440677966101695
1,post_pred_rewards,route_vector,oss,"[0.02146691901252435, 0.021245727773454706, 0.0244681605226846, -0.14060796263178657]",295,74,0.4711864406779661
1,post_pred_rewards,route_vector,gemini,"[0.02053029678286659, 0.02246909511528823, 0.026686767318158323, -0.14175846181797672]",295,74,0.4711864406779661
2,post_pred_rewards,route_vector,scout,"[0.012851092376003447, 0.009707112465181762, 0.009238324994756422, -2.632743255584405]",295,74,0.06779661016949153
2,post_pred_rewards,route_vector,oss,"[0.019194246820228095, 0.02358826603816636, 0.0269275462059108, -0.07417881914668406]",295,74,0.488135593220339
2,post_pred_rewards,route_vector,gemini,"[0.019805207523216895, 0.021981083397398998, 0.02629722401212705, -0.005685753782142331]",295,74,0.5050847457627119
3,post_pred_rewards,route_vector,scout,"[0.012840324780644813, 0.010260186389914844, 0.009520691977259748, -2.4825172566929714]",295,74,0.07796610169491526
3,post_pred_rewards,route_vector,oss,"[0.01960384419534666, 0.024122638705134706, 0.027049111917259144, -0.0071564184885277845]",295,74,0.5050847457627119
3,post_pred_rewards,route_vector,gemini,"[0.01800675964392193, 0.021896135846571047, 0.02597844788819505, 0.021790816891075114]",295,74,0.511864406779661
4,post_pred_rewards,route_vector,scout,"[0.010710857599491147, 0.00872580893824979, 0.008378778695351075, -2.582603841582647]",296,73,0.07094594594594594
4,post_pred_rewards,route_vector,oss,"[0.017789628808901572, 0.021704574008191473, 0.024203145589765676, -0.09209710028040546]",296,73,0.4831081081081081
4,post_pred_rewards,route_vector,gemini,"[0.01839019036344404, 0.021097048217844014, 0.024911269642582095, -0.06533234292435572]",296,73,0.48986486486486486
0,input_pred_rewards,route_vector,scout,"[0.00040547578401562394, 0.0005208979820747273, 0.0005837219765931812, -2.7949620642595363]",295,74,0.0576271186440678
0,input_pred_rewards,route_vector,oss,"[0.00471560666521746, 0.008681271962599118, 0.011202753361203303, -0.04296371967207726]",295,74,0.4915254237288136
0,input_pred_rewards,route_vector,gemini,"[0.004705788280566656, 0.009434121954123926, 0.012333716760001836, -0.05726039487910936]",295,74,0.488135593220339
1,input_pred_rewards,route_vector,scout,"[0.0011269111201130473, 0.0017337354967914358, 0.0021045881973769023, -2.677786951668155]",295,74,0.06440677966101695
1,input_pred_rewards,route_vector,oss,"[0.003163038241045718, 0.0072113474634616925, 0.009811049571958913, -0.12294873299088586]",295,74,0.4711864406779661
1,input_pred_rewards,route_vector,gemini,"[0.00418454414621312, 0.009645819532644338, 0.013067480599423599, -0.12546586334001944]",295,74,0.4711864406779661
2,input_pred_rewards,route_vector,scout,"[0.0009705193531315985, 0.0011158904355071885, 0.001105263647572075, -2.6221551481572276]",295,74,0.06779661016949153
2,input_pred_rewards,route_vector,oss,"[0.0038014367102240107, 0.008922287030390089, 0.012170908485496661, -0.05674157508473566]",295,74,0.488135593220339
2,input_pred_rewards,route_vector,gemini,"[0.004626720345982039, 0.01015041872305908, 0.013594619938950364, 0.00980605567566193]",295,74,0.5050847457627119
3,input_pred_rewards,route_vector,scout,"[0.0012306737482946834, 0.0012420586874069748, 0.0011928102946289281, -2.4716057601522734]",295,74,0.07796610169491526
3,input_pred_rewards,route_vector,oss,"[0.004076074298035413, 0.008269006894477186, 0.010912006610843242, 0.011659782873313361]",295,74,0.5050847457627119
3,input_pred_rewards,route_vector,gemini,"[0.0028980294489857304, 0.007830707974372058, 0.01097613382469431, 0.039255176230380565]",295,74,0.511864406779661
4,input_pred_rewards,route_vector,scout,"[0.0006311322328102676, 0.0009864286889918084, 0.001170585913631142, -2.5732396750286353]",296,73,0.07094594594594594
4,input_pred_rewards,route_vector,oss,"[0.0035511400302934955, 0.007353114911177023, 0.009846547804128997, -0.07532821919754508]",296,73,0.4831081081081081
4,input_pred_rewards,route_vector,gemini,"[0.0032678642533641262, 0.008202868430371185, 0.011349344004670508, -0.04912685891431236]",296,73,0.48986486486486486
