selection_cost_mode,lambda,best_always_policy,best_always_utility,cascade_utility,best_existing_q_policy,best_existing_q_utility,best_attempt_q_policy,best_attempt_q_utility,best_attempt_q_minus_existing_q,best_attempt_q_minus_always,best_attempt_q_minus_cascade,best_chain_latest_policy,best_chain_latest_utility,best_chain_best_attempt_policy,best_chain_best_attempt_utility,best_chain_best_attempt_minus_latest_chain
fixed_train_mean,75.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2705723708041958,0.2705723708041958,state_policy::input_only_direct,0.25961900201048954,state_policy::input_only_direct,0.25961900201048954,0.0,-0.010953368793706286,-0.010953368793706286,state_policy::forced_scout_latest_max4,0.2572835967657343,state_policy::forced_scout_best_attempt_max4,0.24679408627622385,-0.010489510489510467
fixed_train_mean,100.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.26402656433566435,0.26402656433566435,state_policy::input_only_direct,0.25066579615384615,state_policy::input_only_direct,0.25066579615384615,0.0,-0.013360768181818194,-0.013360768181818194,state_policy::forced_scout_latest_max4,0.23980076468531475,state_policy::forced_scout_best_attempt_max4,0.22931125419580423,-0.010489510489510523
fixed_train_mean,150.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2509349513986014,0.2509349513986014,state_policy::input_only_direct,0.21547052412587409,state_policy::input_only_direct,0.21547052412587409,0.0,-0.035464427272727306,-0.035464427272727306,state_policy::forced_scout_latest_max4,0.2059025835664336,state_policy::forced_scout_best_attempt_max4,0.19541307307692313,-0.010489510489510467
fixed_train_mean,200.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2378433384615385,0.23784333846153846,state_policy::input_only_direct,0.19192561608391606,state_policy::input_only_direct,0.19192561608391606,0.0,-0.04591772237762243,-0.0459177223776224,state_policy::forced_scout_latest_max4,0.18263768461538463,state_policy::forced_scout_best_attempt_max4,0.17214817412587416,-0.010489510489510467
predicted_expert_fixed_scout,0.0,always::solver:openai/gpt-oss-120b,0.47202797202797203,0.44405594405594406,state_policy::flexible_latest_max4,0.43356643356643354,state_policy::forced_scout_best_attempt_max4,0.4160839160839161,-0.017482517482517446,-0.05594405594405594,-0.02797202797202797,state_policy::flexible_latest_max4,0.43356643356643354,state_policy::forced_scout_best_attempt_max4,0.4160839160839161,-0.017482517482517446
predicted_expert_fixed_scout,5.0,always::solver:openai/gpt-oss-120b,0.40249621573426575,0.34523427304195803,state_policy::flexible_latest_max4,0.36804330370629373,state_policy::input_only_direct,0.36136540573426573,-0.006677897972028002,-0.04113081000000002,0.016131132692307704,state_policy::flexible_latest_max4,0.36804330370629373,state_policy::flexible_best_attempt_max4,0.3550040221153846,-0.013039281590909113
predicted_expert_fixed_scout,10.0,always::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.3588094601398601,0.31284616846153845,state_policy::flexible_latest_max4,0.3257848182167832,state_policy::input_only_direct,0.32214579318181813,-0.003639025034965049,-0.03666366695804196,0.009299624720279676,state_policy::flexible_latest_max4,0.3257848182167832,state_policy::flexible_best_attempt_max4,0.3041586467132867,-0.021626171503496494
predicted_expert_fixed_scout,15.0,always::solver:openai/gpt-oss-20b,0.34295199414335664,0.32859655265734267,state_policy::input_only_direct,0.30153172716783216,state_policy::input_only_direct,0.30153172716783216,0.0,-0.04142026697552448,-0.027064825489510502,state_policy::flexible_latest_max4,0.29537404821678326,state_policy::flexible_best_attempt_max4,0.2741733066958042,-0.02120074152097906
predicted_expert_fixed_scout,20.0,always::solver:openai/gpt-oss-20b,0.32789869615384615,0.31342011216783217,state_policy::input_only_direct,0.29303247216783224,state_policy::input_only_direct,0.29303247216783224,0.0,-0.03486622398601391,-0.02038763999999993,state_policy::flexible_latest_max4,0.28333586734265737,state_policy::flexible_best_attempt_max4,0.26605003552447554,-0.01728583181818183
predicted_expert_fixed_scout,25.0,always::solver:openai/gpt-oss-20b,0.31284539816433565,0.29824367167832166,state_policy::input_only_direct,0.2899964831293707,state_policy::input_only_direct,0.2899964831293707,0.0,-0.022848915034964945,-0.008247188548950957,state_policy::flexible_latest_max4,0.26814756660839156,state_policy::forced_scout_best_attempt_max4,0.25573779790209794,-0.012409768706293622
predicted_expert_fixed_scout,30.0,always::solver:openai/gpt-oss-20b,0.29779210017482516,0.28306723118881116,state_policy::input_only_direct,0.29493345531468534,state_policy::input_only_direct,0.29493345531468534,0.0,-0.002858644860139814,0.01186622412587418,state_policy::flexible_latest_max4,0.2720831638811188,state_policy::flexible_best_attempt_max4,0.25966842244755234,-0.012414741433566467
predicted_expert_fixed_scout,35.0,always::solver:openai/gpt-oss-20b,0.2827388021853146,0.26789079069930066,state_policy::input_only_direct,0.29248934828671336,state_policy::input_only_direct,0.29248934828671336,0.0,0.00975054610139875,0.024598557587412695,state_policy::flexible_latest_max4,0.2720437062237761,state_policy::flexible_best_attempt_max4,0.26314015097902094,-0.008903555244755168
predicted_expert_fixed_scout,40.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2797364998601399,0.25271435020979016,state_policy::input_only_direct,0.2927448525874126,state_policy::input_only_direct,0.2927448525874126,0.0,0.013008352727272743,0.04003050237762246,state_policy::flexible_latest_max4,0.26465130405594406,state_policy::flexible_best_attempt_max4,0.2559743138461539,-0.00867699020979018
predicted_expert_fixed_scout,50.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.27711817727272725,0.22236146923076922,state_policy::input_only_direct,0.29308861206293707,state_policy::input_only_direct,0.29308861206293707,0.0,0.01597043479020982,0.07072714283216786,state_policy::flexible_latest_max4,0.27197822447552444,state_policy::flexible_best_attempt_max4,0.26375436433566435,-0.008223860139860095
predicted_expert_fixed_scout,75.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2705723708041958,0.2705723708041958,state_policy::input_only_direct,0.25940014615384616,state_policy::input_only_direct,0.25940014615384616,0.0,-0.011172224650349671,-0.011172224650349671,state_policy::flexible_latest_max4,0.2432052222027972,state_policy::flexible_best_attempt_max4,0.2361141872377622,-0.007091034965034992
predicted_expert_fixed_scout,100.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.26402656433566435,0.26402656433566435,state_policy::input_only_direct,0.2356362202797203,state_policy::input_only_direct,0.2356362202797203,0.0,-0.02839034405594404,-0.02839034405594404,state_policy::forced_scout_latest_max4,0.22403708496503505,state_policy::forced_scout_best_attempt_max4,0.21354757447552453,-0.010489510489510523
predicted_expert_fixed_scout,150.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2509349513986014,0.2509349513986014,state_policy::forced_scout_latest_max4,0.2048134033216784,state_policy::input_only_direct,0.20322436538461539,-0.0015890379370630259,-0.047710586013986006,-0.047710586013986006,state_policy::forced_scout_latest_max4,0.2048134033216784,state_policy::forced_scout_best_attempt_max4,0.1943238928321679,-0.010489510489510523
predicted_expert_fixed_scout,200.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2378433384615385,0.23784333846153846,state_policy::forced_scout_latest_max4,0.17073443356643364,state_policy::input_only_direct,0.164201727972028,-0.006532705594405636,-0.07364161048951048,-0.07364161048951046,state_policy::forced_scout_latest_max4,0.17073443356643364,state_policy::forced_scout_best_attempt_max4,0.16024492307692312,-0.010489510489510523
