policy,policy_type,lambda,cost_metric,cost_accounting,mean_true_reward,mean_true_cost,mean_true_utility,choice_counts_by_route,called_counts_by_route,cascade_order,cascade_order_labels
oracle_direct_utility_weighted,oracle_direct,5.0,output_tokens,direct,0.5594405594405595,0.0014218673041958034,0.5523312229195805,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,5.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.5518486121678322,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,5.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,0.3681000404545455,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,10.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.28759146762237764,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,10.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.3588094601398601,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,10.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,0.33296445944055947,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,10.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.35800529213286714,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,10.0,output_tokens,sequential_cascade,0.38461538461538464,0.0057480656188811175,0.3271347284265735,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 31, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 158, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 97}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 158, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 255}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,10.0,output_tokens,after_primary,0.42657342657342656,0.01165782369230769,0.30999518965034967,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 203, ""solver:openai/gpt-oss-20b"": 0}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,10.0,output_tokens,after_primary,0.5594405594405595,0.0015060818636363632,0.5443797408041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_direct_utility_weighted,oracle_direct,10.0,output_tokens,direct,0.5594405594405595,0.0014218673041958034,0.5452218863986015,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,10.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.5442566648951049,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,10.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,0.30962665433566433,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,15.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.28628230632867135,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,15.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.3371652391608391,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,15.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,0.2634327031468532,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,15.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.34295199414335664,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,15.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.3408886981643357,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,15.0,output_tokens,after_primary,0.42657342657342656,0.01165782369230769,0.2517060711888112,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 203, ""solver:openai/gpt-oss-20b"": 0}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,15.0,output_tokens,after_primary,0.5594405594405595,0.0015060818636363632,0.536849331486014,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_direct_utility_weighted,oracle_direct,15.0,output_tokens,direct,0.5594405594405595,0.0014218673041958034,0.5381125498776225,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,15.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.5366647176223777,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,15.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,0.25115326821678324,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,20.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.284973145034965,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,20.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.31552101818181816,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,20.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,0.1939009468531469,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,20.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.32789869615384615,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,20.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.32631313601398604,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,20.0,output_tokens,after_primary,0.42657342657342656,0.011605286979020978,0.19446768699300698,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 202, ""solver:openai/gpt-oss-20b"": 0}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,20.0,output_tokens,after_primary,0.5594405594405595,0.0015060818636363632,0.5293189221678323,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_direct_utility_weighted,oracle_direct,20.0,output_tokens,direct,0.5594405594405595,0.0014218673041958034,0.5310032133566435,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,20.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.5290727703496504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,20.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,0.19267988209790213,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,25.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.28366398374125873,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,25.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.29387679720279714,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,25.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,0.12436919055944068,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,25.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.31284539816433565,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,25.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.3117375738636364,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,25.0,output_tokens,after_primary,0.42657342657342656,0.011605286979020978,0.1364412520979021,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 202, ""solver:openai/gpt-oss-20b"": 0}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,25.0,output_tokens,after_primary,0.5594405594405595,0.0015060818636363632,0.5217885128496504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_direct_utility_weighted,oracle_direct,25.0,output_tokens,direct,0.5594405594405595,0.0014218673041958034,0.5238938768356644,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,25.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.5214808230769231,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,25.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,0.134206495979021,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,30.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.28235482244755244,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,30.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.27223257622377617,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,30.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,0.0548374342657344,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,30.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.29779210017482516,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,30.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.2971620117132867,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,30.0,output_tokens,after_primary,0.42657342657342656,0.011600720139860137,0.07855182237762243,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 201, ""solver:openai/gpt-oss-20b"": 1}",,,
